// Setup
SequentiallyOrderedLists = False
SequentiallyOrderedSentences = False
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True

// Presets // Preset selection is based on the value of PrimaryStringRepresentation, and are added on the specified PresetLevel. Each PresetLevel component is only added once.
PresetLevel = List
Preset = Måttlig_A: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
Preset = Måttlig_B_Fallande: tuff_tuss_tusch, sopp_sått_sort, kval_kvarn_kvav, fyr_skyr_syr
Preset = Grav_A: sarg_sorg_sörj, mår_mor_mur, hyf_hys_hyrs, kval_kvarn_kvar, tugg_tum_tung
Preset = Grav_B_Fallande: mark_märk_mörk, farm_charm_larm, red_räd_Ryd, ed_led_ned, sock_sått_sort
Preset = Alla ord: // If left empty all components (except practise components) are added
Preset = Kil-fil-sil: kil_fil_sil
Preset = Farm-charm-larm: farm_charm_larm
Preset = IHeAR_CS: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
//Preset = BSIM experiment (temporary): kil_fil_sil, fyr_skyr_syr, mår_mor_mur, rått_rott_rött
Preset = QuickSiP: mark_märk_mörk, fyr_skyr_syr, sitt_sytt_sött, kil_fil_sil, tuff_tuss_tusch
ContrastPreset = Konsonanter: ∅, b, ɕ, d, f, fː, ɡː, h, ɧ, ʝ, ʝː, k, kː, l, lː, m, mː, n, ɳ, nː, ŋː, p, pː, r, rː, s, ʂ, sː, ʂː, t, tː, ʈː, v
ContrastPreset = Tonlösa konsonanter: ɕ, f, fː, h, ɧ, k, kː, p, pː, s, ʂ, sː, ʂː, t, tː, ʈː
ContrastPreset = Vokaler: a, ɑː, æ, ɔ, eː, ɛ̝, ɛː, ɪ, iː, ɵ, oː, œ, ʊ, uː, ʉː, ʏ, yː, ø̞, øː

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SipTest		The Swedish SiP-test	False
Phoneme	L08S03W01P01	L08S03W01	r	True
Phoneme	L08S03W01P02	L08S03W01	øː	True
Phoneme	L08S03W01P03	L08S03W01	s	True

List	L09	SipTest	satt_sätt_sött	False
Sentence	L09S01	L09	satt	False
Word	L09S01W01	L09S01	satt	False
Phoneme	L09S01W01P01	L09S01W01	s	False
Phoneme	L09S01W01P02	L09S01W01	a	False
Phoneme	L09S01W01P03	L09S01W01	tː	False
Sentence	L09S02	L09	sätt	False
Word	L09S02W01	L09S02	sätt	False
Phoneme	L09S02W01P01	L09S02W01	s	False
Phoneme	L09S02W01P02	L09S02W01	ɛ̝	False
Phoneme	L09S02W01P03	L09S02W01	tː	False
Sentence	L09S03	L09	sött	False
Word	L09S03W01	L09S03	sött	False
Phoneme	L09S03W01P01	L09S03W01	s	False
Phoneme	L09S03W01P02	L09S03W01	ø̞	False
Phoneme	L09S03W01P03	L09S03W01	tː	False

List	L10	SipTest	mår_mor_mur	False
Sentence	L10S01	L10	mår	False
Word	L10S01W01	L10S01	mår	False
Phoneme	L10S01W01P01	L10S01W01	m	False
Phoneme	L10S01W01P02	L10S01W01	oː	False
Phoneme	L10S01W01P03	L10S01W01	r	False
Sentence	L10S02	L10	mor	False
Word	L10S02W01	L10S02	mor	False
Phoneme	L10S02W01P01	L10S02W01	m	False
Phoneme	L10S02W01P02	L10S02W01	uː	False
Phoneme	L10S02W01P03	L10S02W01	r	False
Sentence	L10S03	L10	mur	False
Word	L10S03W01	L10S03	mur	False
Phoneme	L10S03W01P01	L10S03W01	m	False
Phoneme	L10S03W01P02	L10S03W01	ʉː	False
Phoneme	L10S03W01P03	L10S03W01	r	False

List	L11	SipTest	mas_mås_mös	False
Sentence	L11S01	L11	mas	False
Word	L11S01W01	L11S01	mas	False
Phoneme	L11S01W01P01	L11S01W01	m	False
Phoneme	L11S01W01P02	L11S01W01	ɑː	False
Phoneme	L11S01W01P03	L11S01W01	s	False
Sentence	L11S02	L11	mås	False
Word	L11S02W01	L11S02	mås	False
Phoneme	L11S02W01P01	L11S02W01	m	False
Phoneme	L11S02W01P02	L11S02W01	oː	False
Phoneme	L11S02W01P03	L11S02W01	s	False
Sentence	L11S03	L11	mös	False
Word	L11S03W01	L11S03	mös	False
Phoneme	L11S03W01P01	L11S03W01	m	False
Phoneme	L11S03W01P02	L11S03W01	øː	False
Phoneme	L11S03W01P03	L11S03W01	s	False

List	L12	SipTest	paj_pall_pang	False
