Id	Transcription
L02S21W00P05	t
L02S22W00P00	f
L02S22W00P01	r
L02S22W00P02	a
L02S22W00P03	mː
L02S22W00P04	ɡ
L02S22W00P05	ɔ
L02S22W00P06	ŋː
L02S23W00P00	b
L02S23W00P01	ɑː
L02S23W00P02	d
L02S23W00P03	h
L02S23W00P04	ʉː
L02S23W00P05	s
L02S24W00P00	t
L02S24W00P01	ɵ
L02S24W00P02	mː
L02S24W00P03	b
L02S24W00P04	r
L02S24W00P05	øː
L02S24W00P06	d
L03S00W00P00	d
L03S00W00P01	eː
L03S00W00P02	l
L03S00W00P03	ʝ
L03S00W00P04	eː
L03S01W00P00	ʝ
L03S01W00P01	ɛ̝
L03S01W00P02	ʈː
L03S01W00P03	ʂ
L03S01W00P04	ɭ
L03S01W00P05	ɑː
L03S01W00P06	ɡ
L03S02W00P00	v
L03S02W00P01	ɪ
L03S02W00P02	lː
L03S02W00P03	k
L03S02W00P04	oː
L03S02W00P05	r
L03S03W00P00	ʉː
L03S03W00P01	t
L03S03W00P02	s
L03S03W00P03	a
L03S03W00P04	tː
L03S04W00P00	oː
L03S04W00P01	ʂ
L03S04W00P02	ʈ
L03S04W00P03	iː
L03S04W00P04	d
L03S05W00P00	l
L03S05W00P01	iː
L03S05W00P02	v
L03S05W00P03	r
L03S05W00P04	ɛ̝
L03S05W00P05	dː
L03S06W00P00	k
L03S06W00P01	ɵ
L03S06W00P02	nː
L03S06W00P03	s
L03S06W00P04	k
L03S06W00P05	ɑː
L03S06W00P06	p
L03S07W00P00	l
L03S07W00P01	ɪ
L03S07W00P02	fː
L03S07W00P03	s
L03S07W00P04	l
L03S07W00P05	ɛ̝
L03S07W00P06	ŋː
L03S07W00P07	d
L03S08W00P00	k
L03S08W00P01	l
L03S08W00P02	ɔ
L03S08W00P03	kː
L03S08W00P04	r
L03S08W00P05	eː
L03S08W00P06	n
L03S08W00P07	t
L03S09W00P00	n
L03S09W00P01	uː
L03S09W00P02	ɡ
L03S09W00P03	r
L03S09W00P04	a
L03S09W00P05	nː
L03S10W00P00	ɡ
L03S10W00P01	r
L03S10W00P02	ɵ
L03S10W00P03	nː
L03S10W00P04	d
L03S10W00P05	l
L03S10W00P06	ɑː
L03S10W00P07	ɡ
L03S11W00P00	l
L03S11W00P01	ɛ̝
L03S11W00P02	pː
L03S11W00P03	s
L03S11W00P04	t
L03S11W00P05	ɪ
L03S11W00P06	fː
L03S11W00P07	t
L03S12W00P00	f
L03S12W00P01	l
L03S12W00P02	ɪ
L03S12W00P03	kː
L03S12W00P04	v
L03S12W00P05	ɛ̝
L03S12W00P06	nː
L03S13W00P00	m
L03S13W00P01	ɑː
L03S13W00P02	t
L03S13W00P03	r
L03S13W00P04	ɛ̝
L03S13W00P05	tː
L03S14W00P00	ɧ
L03S14W00P01	øː
L03S14W00P02	n
L03S14W00P03	h
L03S14W00P04	eː
L03S14W00P05	t
L03S15W00P00	t
L03S15W00P01	iː
L03S15W00P02	d
L03S15W00P03	s
L03S15W00P04	k
L03S15W00P05	r
L03S15W00P06	ɪ
L03S15W00P07	fː
L03S15W00P08	t
L03S16W00P00	ɑː
L03S16W00P01	v
L03S16W00P02	b
L03S16W00P03	r
L03S16W00P04	øː
L03S16W00P05	t
L03S17W00P00	k
L03S17W00P01	ɵ
L03S17W00P02	nː
L03S17W00P03	d
L03S17W00P04	v
L03S17W00P05	a
L03S17W00P06	ŋː
L03S17W00P07	n
L03S18W00P00	ɑː
L03S18W00P01	v
L03S18W00P02	f
L03S18W00P03	a
L03S18W00P04	lː
L03S19W00P00	s
L03S19W00P01	m
L03S19W00P02	oː
L03S19W00P03	k
L03S19W00P04	r
L03S19W00P05	yː
L03S19W00P06	p
L03S20W00P00	a
L03S20W00P01	nː
L03S20W00P02	s
L03S20W00P03	t
L03S20W00P04	ɛ̝
L03S20W00P05	lː
L03S20W00P06	d
L03S21W00P00	a
L03S21W00P01	ɱː
L03S21W00P02	v
L03S21W00P03	ɛ̝
L03S21W00P04	nː
L03S21W00P05	t
L03S22W00P00	h
L03S22W00P01	ɛ̝
L03S22W00P02	mː
L03S22W00P03	l
L03S22W00P04	øː
L03S22W00P05	s
L03S23W00P00	ɵ
L03S23W00P01	pː
L03S23W00P02	k
L03S23W00P03	l
L03S23W00P04	ɛ̝
L03S23W00P05	dː
L03S24W00P00	t
L03S24W00P01	a
L03S24W00P02	nː
L03S24W00P03	d
L03S24W00P04	s
L03S24W00P05	t
L03S24W00P06	eː
L03S24W00P07	n
L04S00W00P00	m
L04S00W00P01	a
L04S00W00P02	sː
L04S00W00P03	v
L04S00W00P04	iː
L04S00W00P05	s
L04S01W00P00	s
L04S01W00P01	t
L04S01W00P02	a
L04S01W00P03	tː
L04S01W00P04	s
L04S01W00P05	d
L04S01W00P06	eː
L04S01W00P07	l
L04S02W00P00	s
L04S02W00P01	p
L04S02W00P02	ɑː
L04S02W00P03	ʂ
L04S02W00P04	a
L04S02W00P05	mː
L04S03W00P00	t
L04S03W00P01	r
L04S03W00P02	ø̞
L04S03W00P03	tː
L04S03W00P04	h
L04S03W00P05	eː
L04S03W00P06	t
L04S04W00P00	r
L04S04W00P01	øː
L04S04W00P02	d
L04S04W00P03	l
L04S04W00P04	øː
L04S04W00P05	k
L04S05W00P00	v
L04S05W00P01	iː
L04S05W00P02	s
L04S05W00P03	d
L04S05W00P04	ʊ
L04S05W00P05	mː
L04S06W00P00	r
L04S06W00P01	ɛ̝
L04S06W00P02	ŋː
L04S06W00P03	n
L04S06W00P04	s
L04S06W00P05	k
L04S06W00P06	uː
L04S06W00P07	ɡ
L04S07W00P00	v
L04S07W00P01	iː
L04S07W00P02	t
L04S07W00P03	l
L04S07W00P04	øː
L04S07W00P05	k
L04S08W00P00	s
L04S08W00P01	t
L04S08W00P02	uː
L04S08W00P03	ʂ
L04S08W00P04	ʈ
L04S08W00P05	ɑː
L04S08W00P06	d
L04S09W00P00	ɪ
L04S09W00P01	nː
L04S09W00P02	t
L04S09W00P03	r
L04S09W00P04	ʏ
L04S09W00P05	kː
L04S10W00P00	l
L04S10W00P01	ɛ̝
L04S10W00P02	tː
L04S10W00P03	l
L04S10W00P04	ɛː
L04S10W00P05	s
L04S10W00P06	t
L04S11W00P00	k
L04S11W00P01	uː
L04S11W00P02	k
L04S11W00P03	b
L04S11W00P04	uː
L04S11W00P05	k
L04S12W00P00	r
L04S12W00P01	ɵ
L04S12W00P02	nː
L04S12W00P03	d
L04S12W00P04	t
L04S12W00P05	ʉː
L04S12W00P06	r
L04S13W00P00	b
L04S13W00P01	ɑː
L04S13W00P02	k
L04S13W00P03	v
L04S13W00P04	ɛ̝
L04S13W00P05	rː
L04S13W00P06	k
L04S14W00P00	s
L04S14W00P01	k
L04S14W00P02	r
L04S14W00P03	iː
L04S14W00P04	v
L04S14W00P05	b
L04S14W00P06	uː
L04S14W00P07	ɖ
L04S15W00P00	s
L04S15W00P01	t
L04S15W00P02	uː
L04S15W00P03	r
L04S15W00P04	h
L04S15W00P05	eː
L04S15W00P06	t
L04S16W00P00	m
L04S16W00P01	uː
L04S16W00P02	t
L04S16W00P03	s
L04S16W00P04	t
L04S16W00P05	ɔ
L04S16W00P06	nː
L04S16W00P07	d
L04S17W00P00	f
L04S17W00P01	r
L04S17W00P02	iː
L04S17W00P03	h
L04S17W00P04	eː
L04S17W00P05	t
L04S18W00P00	b
L04S18W00P01	ɑː
L04S18W00P02	d
L04S18W00P03	r
L04S18W00P04	ɵ
L04S18W00P05	mː
L04S19W00P00	f
L04S19W00P01	r
L04S19W00P02	a
L04S19W00P03	mː
L04S19W00P04	t
L04S19W00P05	iː
L04S19W00P06	d
L04S20W00P00	ʝ
L04S20W00P01	ʉː
L04S20W00P02	s
L04S20W00P03	b
L04S20W00P04	l
L04S20W00P05	oː
L04S21W00P00	v
L04S21W00P01	yː
L04S21W00P02	k
L04S21W00P03	ʊ
L04S21W00P04	ʈː
L04S22W00P00	p
L04S22W00P01	l
L04S22W00P02	oː
L04S22W00P03	m
L04S22W00P04	b
L04S22W00P05	uː
L04S22W00P06	k
L04S23W00P00	v
L04S23W00P01	ɛ̝
L04S23W00P02	nː
L04S23W00P03	s
L04S23W00P04	k
L04S23W00P05	ɑː
L04S23W00P06	p
L04S24W00P00	b
L04S24W00P01	l
L04S24W00P02	ʊ
L04S24W00P03	mː
L04S24W00P04	k
L04S24W00P05	oː
L04S24W00P06	l
L05S00W00P00	m
L05S00W00P01	ɪ
L05S00W00P02	sː
L05S00W00P03	t
L05S00W00P04	ɑː
L05S00W00P05	ɡ
L05S01W00P00	iː
L05S01W00P01	s
L05S01W00P02	t
L05S01W00P03	iː
L05S01W00P04	d
L05S02W00P00	m
L05S02W00P01	ɛ̝
L05S02W00P02	rː
L05S02W00P03	k
L05S02W00P04	b
L05S02W00P05	ɑː
L05S02W00P06	ʈ
L05S03W00P00	v
L05S03W00P01	ɛ̝
L05S03W00P02	rː
L05S03W00P03	k
L05S03W00P04	s
L05S03W00P05	a
L05S03W00P06	mː
L05S04W00P00	f
L05S04W00P01	øː
L05S04W00P02	ɖ
L05S04W00P03	eː
L05S04W00P04	l
L05S05W00P00	t
L05S05W00P01	a
L05S05W00P02	nː
L05S05W00P03	d
L05S05W00P04	v
L05S05W00P05	oː
L05S05W00P06	ɖ
L05S06W00P00	k
L05S06W00P01	ɵ
L05S06W00P02	nː
L05S06W00P03	d
L05S06W00P04	ɕ
L05S06W00P05	ɛ̝
L05S06W00P06	nː
L05S06W00P07	s
L05S06W00P08	t
L05S07W00P00	m
L05S07W00P01	ʏ
L05S07W00P02	ɡː
L05S07W00P03	b
L05S07W00P04	ɛ̝
L05S07W00P05	tː
L05S08W00P00	s
L05S08W00P01	k
L05S08W00P02	uː
L05S08W00P03	s
L05S08W00P04	k
