// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Spondees 23		Swedish Spondees 23	False
Word	L00S24W00	L00S24	Verktyg	False
Phoneme	L00S24W00P00	L00S24W00	v	False
Phoneme	L00S24W00P01	L00S24W00	ɛ̝	False
Phoneme	L00S24W00P02	L00S24W00	rː	False
Phoneme	L00S24W00P03	L00S24W00	k	False
Phoneme	L00S24W00P04	L00S24W00	t	False
Phoneme	L00S24W00P05	L00S24W00	yː	False
Phoneme	L00S24W00P06	L00S24W00	ɡ	False

List	L01	Swedish Spondees 23	Lista 2	False
Sentence	L01S00	L01	Sentence00	False
Word	L01S00W00	L01S00	Barnvakt	False
Phoneme	L01S00W00P00	L01S00W00	b	False
Phoneme	L01S00W00P01	L01S00W00	ɑː	False
Phoneme	L01S00W00P02	L01S00W00	ɳ	False
Phoneme	L01S00W00P03	L01S00W00	v	False
Phoneme	L01S00W00P04	L01S00W00	a	False
Phoneme	L01S00W00P05	L01S00W00	kː	False
Phoneme	L01S00W00P06	L01S00W00	t	False
Sentence	L01S01	L01	Sentence01	False
Word	L01S01W00	L01S01	Slutsålt	False
Phoneme	L01S01W00P00	L01S01W00	s	False
Phoneme	L01S01W00P01	L01S01W00	l	False
Phoneme	L01S01W00P02	L01S01W00	ʉː	False
Phoneme	L01S01W00P03	L01S01W00	t	False
Phoneme	L01S01W00P04	L01S01W00	s	False
Phoneme	L01S01W00P05	L01S01W00	ɔ	False
Phoneme	L01S01W00P06	L01S01W00	lː	False
Phoneme	L01S01W00P07	L01S01W00	t	False
Sentence	L01S02	L01	Sentence02	False
Word	L01S02W00	L01S02	Godkänd	False
Phoneme	L01S02W00P00	L01S02W00	ɡ	False
Phoneme	L01S02W00P01	L01S02W00	uː	False
Phoneme	L01S02W00P02	L01S02W00	d	False
Phoneme	L01S02W00P03	L01S02W00	ɕ	False
Phoneme	L01S02W00P04	L01S02W00	ɛ̝	False
Phoneme	L01S02W00P05	L01S02W00	nː	False
Phoneme	L01S02W00P06	L01S02W00	d	False
Sentence	L01S03	L01	Sentence03	False
Word	L01S03W00	L01S03	Högljudd	False
Phoneme	L01S03W00P00	L01S03W00	h	False
Phoneme	L01S03W00P01	L01S03W00	øː	False
Phoneme	L01S03W00P02	L01S03W00	ɡ	False
Phoneme	L01S03W00P03	L01S03W00	ʝ	False
Phoneme	L01S03W00P04	L01S03W00	ɵ	False
Phoneme	L01S03W00P05	L01S03W00	dː	False
Sentence	L01S04	L01	Sentence04	False
Word	L01S04W00	L01S04	Farbror	False
Phoneme	L01S04W00P00	L01S04W00	f	False
Phoneme	L01S04W00P01	L01S04W00	a	False
Phoneme	L01S04W00P02	L01S04W00	rː	False
Phoneme	L01S04W00P03	L01S04W00	b	False
Phoneme	L01S04W00P04	L01S04W00	r	False
Phoneme	L01S04W00P05	L01S04W00	ʊ	False
Phoneme	L01S04W00P06	L01S04W00	rː	False
Sentence	L01S05	L01	Sentence05	False
Word	L01S05W00	L01S05	Avsnitt	False
Phoneme	L01S05W00P00	L01S05W00	ɑː	False
Phoneme	L01S05W00P01	L01S05W00	v	False
Phoneme	L01S05W00P02	L01S05W00	s	False
Phoneme	L01S05W00P03	L01S05W00	n	False
Phoneme	L01S05W00P04	L01S05W00	ɪ	False
Phoneme	L01S05W00P05	L01S05W00	tː	False
Sentence	L01S06	L01	Sentence06	False
Word	L01S06W00	L01S06	Landsväg	False
Phoneme	L01S06W00P00	L01S06W00	l	False
Phoneme	L01S06W00P01	L01S06W00	a	False
Phoneme	L01S06W00P02	L01S06W00	nː	False
Phoneme	L01S06W00P03	L01S06W00	d	False
Phoneme	L01S06W00P04	L01S06W00	s	False
Phoneme	L01S06W00P05	L01S06W00	v	False
Phoneme	L01S06W00P06	L01S06W00	ɛː	False
Phoneme	L01S06W00P07	L01S06W00	ɡ	False
Sentence	L01S07	L01	Sentence07	False
Word	L01S07W00	L01S07	Kylskåp	False
Phoneme	L01S07W00P00	L01S07W00	ɕ	False
Phoneme	L01S07W00P01	L01S07W00	yː	False
Phoneme	L01S07W00P02	L01S07W00	l	False
Phoneme	L01S07W00P03	L01S07W00	s	False
Phoneme	L01S07W00P04	L01S07W00	k	False
Phoneme	L01S07W00P05	L01S07W00	oː	False
Phoneme	L01S07W00P06	L01S07W00	p	False
Sentence	L01S08	L01	Sentence08	False
Word	L01S08W00	L01S08	Uttryck	False
Phoneme	L01S08W00P00	L01S08W00	ʉː	False
Phoneme	L01S08W00P01	L01S08W00	t	False
Phoneme	L01S08W00P02	L01S08W00	r	False
Phoneme	L01S08W00P03	L01S08W00	ʏ	False
Phoneme	L01S08W00P04	L01S08W00	kː	False
Sentence	L01S09	L01	Sentence09	False
Word	L01S09W00	L01S09	Parkbänk	False
Phoneme	L01S09W00P00	L01S09W00	p	False
Phoneme	L01S09W00P01	L01S09W00	a	False
Phoneme	L01S09W00P02	L01S09W00	rː	False
Phoneme	L01S09W00P03	L01S09W00	k	False
Phoneme	L01S09W00P04	L01S09W00	b	False
Phoneme	L01S09W00P05	L01S09W00	ɛ̝	False
Phoneme	L01S09W00P06	L01S09W00	ŋː	False
Phoneme	L01S09W00P07	L01S09W00	k	False
Sentence	L01S10	L01	Sentence10	False
Word	L01S10W00	L01S10	Inhopp	False
Phoneme	L01S10W00P00	L01S10W00	ɪ	False
Phoneme	L01S10W00P01	L01S10W00	nː	False
Phoneme	L01S10W00P02	L01S10W00	h	False
Phoneme	L01S10W00P03	L01S10W00	ɔ	False
Phoneme	L01S10W00P04	L01S10W00	pː	False
Sentence	L01S11	L01	Sentence11	False
Word	L01S11W00	L01S11	Tupplur	False
Phoneme	L01S11W00P00	L01S11W00	t	False
Phoneme	L01S11W00P01	L01S11W00	ɵ	False
Phoneme	L01S11W00P02	L01S11W00	pː	False
Phoneme	L01S11W00P03	L01S11W00	l	False
Phoneme	L01S11W00P04	L01S11W00	ʉː	False
Phoneme	L01S11W00P05	L01S11W00	r	False
Sentence	L01S12	L01	Sentence12	False
Word	L01S12W00	L01S12	Blodtryck	False
Phoneme	L01S12W00P00	L01S12W00	b	False
Phoneme	L01S12W00P01	L01S12W00	l	False
Phoneme	L01S12W00P02	L01S12W00	uː	False
Phoneme	L01S12W00P03	L01S12W00	d	False
Phoneme	L01S12W00P04	L01S12W00	t	False
Phoneme	L01S12W00P05	L01S12W00	r	False
Phoneme	L01S12W00P06	L01S12W00	ʏ	False
Phoneme	L01S12W00P07	L01S12W00	kː	False
Sentence	L01S13	L01	Sentence13	False
Word	L01S13W00	L01S13	Spädbarn	False
Phoneme	L01S13W00P00	L01S13W00	s	False
Phoneme	L01S13W00P01	L01S13W00	p	False
Phoneme	L01S13W00P02	L01S13W00	ɛː	False
Phoneme	L01S13W00P03	L01S13W00	d	False
