Name = Wierstorf 2011 - Unechoic - AKGK271 - 44.1kHz					
ImpulseResponseSubFolder = Data\wierstorf2011\44100Hz					
SampleRate = 44100				
					
<AvailableSourceLocations> 					
// AvailableSourceLocations are specified as: File [tab] Channel [tab] Ear [tab] Azimuth [tab] Elevation [tab] Distance [tab], with one location per row					
// Note that Channel is the channel number within the File in which the impulse response for the corresponding Azimuth, Elevation and Distance for ear Ear is stored. 					
// Ear should have the values either L or R, for left and right respectively					
					
//File	Channel	Ear	Azimuth	Elevation	Distance
QU_KEMAR_anechoic_AKGK271_0.5m.wav	127	R	63	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	128	L	63	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	129	R	64	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	130	L	64	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	131	R	65	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	132	L	65	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	133	R	66	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	134	L	66	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	135	R	67	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	136	L	67	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	137	R	68	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	138	L	68	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	139	R	69	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	140	L	69	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	141	R	70	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	142	L	70	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	143	R	71	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	144	L	71	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	145	R	72	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	146	L	72	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	147	R	73	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	148	L	73	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	149	R	74	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	150	L	74	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	151	R	75	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	152	L	75	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	153	R	76	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	154	L	76	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	155	R	77	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	156	L	77	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	157	R	78	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	158	L	78	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	159	R	79	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	160	L	79	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	161	R	80	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	162	L	80	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	163	R	81	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	164	L	81	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	165	R	82	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	166	L	82	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	167	R	83	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	168	L	83	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	169	R	84	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	170	L	84	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	171	R	85	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	172	L	85	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	173	R	86	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	174	L	86	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	175	R	87	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	176	L	87	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	177	R	88	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	178	L	88	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	179	R	89	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	180	L	89	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	181	R	90	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	182	L	90	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	183	R	91	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	184	L	91	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	185	R	92	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	186	L	92	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	187	R	93	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	188	L	93	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	189	R	94	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	190	L	94	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	191	R	95	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	192	L	95	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	193	R	96	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	194	L	96	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	195	R	97	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	196	L	97	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	197	R	98	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	198	L	98	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	199	R	99	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	200	L	99	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	201	R	100	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	202	L	100	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	203	R	101	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	204	L	101	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	205	R	102	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	206	L	102	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	207	R	103	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	208	L	103	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	209	R	104	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	210	L	104	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	211	R	105	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	212	L	105	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	213	R	106	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	214	L	106	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	215	R	107	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	216	L	107	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	217	R	108	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	218	L	108	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	219	R	109	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	220	L	109	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	221	R	110	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	222	L	110	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	223	R	111	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	224	L	111	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	225	R	112	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	226	L	112	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	227	R	113	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	228	L	113	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	229	R	114	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	230	L	114	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	231	R	115	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	232	L	115	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	233	R	116	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	234	L	116	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	235	R	117	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	236	L	117	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	237	R	118	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	238	L	118	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	239	R	119	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	240	L	119	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	241	R	120	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	242	L	120	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	243	R	121	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	244	L	121	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	245	R	122	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	246	L	122	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	247	R	123	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	248	L	123	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	249	R	124	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	250	L	124	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	251	R	125	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	252	L	125	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	253	R	126	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	254	L	126	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	255	R	127	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	256	L	127	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	257	R	128	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	258	L	128	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	259	R	129	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	260	L	129	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	261	R	130	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	262	L	130	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	263	R	131	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	264	L	131	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	265	R	132	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	266	L	132	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	267	R	133	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	268	L	133	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	269	R	134	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	270	L	134	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	271	R	135	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	272	L	135	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	273	R	136	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	274	L	136	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	275	R	137	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	276	L	137	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	277	R	138	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	278	L	138	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	279	R	139	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	280	L	139	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	281	R	140	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	282	L	140	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	283	R	141	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	284	L	141	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	285	R	142	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	286	L	142	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	287	R	143	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	288	L	143	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	289	R	144	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	290	L	144	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	291	R	145	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	292	L	145	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	293	R	146	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	294	L	146	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	295	R	147	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	296	L	147	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	297	R	148	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	298	L	148	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	299	R	149	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	300	L	149	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	301	R	150	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	302	L	150	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	303	R	151	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	304	L	151	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	305	R	152	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	306	L	152	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	307	R	153	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	308	L	153	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	309	R	154	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	310	L	154	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	311	R	155	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	312	L	155	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	313	R	156	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	314	L	156	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	315	R	157	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	316	L	157	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	317	R	158	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	318	L	158	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	319	R	159	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	320	L	159	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	321	R	160	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	322	L	160	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	323	R	161	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	324	L	161	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	325	R	162	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	326	L	162	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	327	R	163	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	328	L	163	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	329	R	164	0	0.5
