UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
ler [ l ˈ eː r ]	ler	0,9861	0,9582	1	1	0,7353	0	14505	3052	l ˈ eː r	CVC	0,9417	0,9073	0,1333	0,0043	1,7124	0,881	1	0,045	0,034	3	False	4,4288	1	3	25	33
lers [ l ˈ eː ʂ ]	lers	0,9214	0,8059	1	1	0,7353	0	2	2	l ˈ eː ʂ	CVC	0,8548	0,5669	0,0793	0,003	0,461	0,3229	0	0,016	0,012		False	0,7444	1	3	14	24
les [ l ˈ eː s ]	les	0,9861	0,9582	1	1	0,7353	0	2224	553	l ˈ eː s	CVC	0,895	0,7206	0,1231	0,004	1,4755	0,7565	0	0,036	0,024		False	3,6146	1	3	31	47
less [ l ˈ ɛ̝ sː ]	less	0,9272	0,8293	0,9823	0,9468	0,7032	0	17593	3717	l ˈ ɛ̝ sː	CVC	0,925	0,8913	0,12	0,0082	1,2405	2,4364	0	0,049	0,072	1	False	4,5126	1	3	28	23
leth [ l ˈ ɛ̝ tː ]	leth	0,8787	0,7505	0,7045	0	0,2896	0	31	11	l ˈ ɛ̝ tː	CVC	0,9477	0,9185	0,1132	0,0081	1,0827	2,3903	3	0,046	0,083		False	1,7724	1	3	31	7
lett [ l ˈ ɛ̝ tː ]	lett	0,9567	0,9177	1	1	0,7032	0	5434	1714	l ˈ ɛ̝ tː	CVC	0,9477	0,9185	0,1132	0,0081	1,0827	2,3903	3	0,046	0,045	17	False	4,0024	1	3	31	24
letts [ l ˈ ɛ̝ tː s ]	letts	0,9675	0,9177	1	1	0,7774	0	75	58	l ˈ ɛ̝ tː s	CVCC	0,9144	0,7808	0,1852	0,012	1,5949	2,7166	1	0,038	0,085	13	False	2,1481	1	4	22	12
lev [ l ˈ eː v ]	lev	0,9861	0,9582	1	1	0,7353	0	2509	1267	l ˈ eː v	CVC	0,9277	0,8514	0,0934	0,0042	0,7871	0,8168	0	0,044	0,031	3	False	3,6669	1	3	22	32
levd [ l ˈ eː v d ]	levd	0,9896	0,9582	1	1	0,8015	0	24	15	l ˈ eː v d	CVCC	0,8411	0,4946	0,134	0,0044	0,9541	0,451	0	0,105	0,04	2	False	1,6652	1	4	4	12
levds [ l ˈ eː v d s ]	levds	0,9916	0,9582	1	1	0,8412	0	0	0	l ˈ eː v d s	CVCCC	0,8243	0,4946	0,1996	0,009	1,3133	1,2269	0	0,035	0,013		False	0,2672	1	5	3	8
