UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
dykt [ d ˈ yː k t ]	dykt	0,9919	0,9676	1	1	0,907	0	3587	1893	d ˈ yː k t	CVCC	0,9096	0,7481	0,1448	0,0028	1,1684	0,3593	0	0,242	0,125	1	False	3,8221	1	4	4	10
dyn [ d ˈ yː n ]	dyn	0,9892	0,9676	1	1	0,876	0	83	69	d ˈ yː n	CVC	0,9185	0,8203	0,0793	0,0012	0,6473	-0,0619	0	0,03	0,028	2	False	2,1915	1	3	24	25
dyns [ d ˈ yː n s ]	dyns	0,9919	0,9676	1	1	0,907	0	2	2	d ˈ yː n s	CVCC	0,8934	0,7928	0,1514	0,0072	1,2683	1,8129	0	0,024	0,018	2	False	0,7444	1	4	14	20
dynt [ d ˈ ʏ nː t ]	dynt	0,9923	0,969	1	1	0,7963	0	3	3	d ˈ ʏ nː t	CVCC	0,8573	0,651	0,1527	0,0067	1,274	1,5947	0	0,058	0,027	1	False	0,8693	1	4	5	11
dynts [ d ˈ ʏ nː t s ]	dynts	0,9938	0,969	1	1	0,837	0	0	0	d ˈ ʏ nː t s	CVCCC	0,8318	0,651	0,2183	0,0107	1,5692	1,9463	0	0,049	0,037		False	0,2672	1	5	3	5
dyr [ d ˈ yː r ]	dyr	0,9892	0,9676	1	1	0,876	0	8530	3557	d ˈ yː r	CVC	0,9171	0,8148	0,1076	0,0025	1,3026	0,4832	1	0,062	0,054	2	False	4,1982	1	3	20	26
dyrk [ d ˈ ʏ rː k ]	dyrk	0,9608	0,8433	1	1	0,7695	0	2	1	d ˈ ʏ rː k	CVCC	0,8651	0,651	0,1187	0,0074	0,7679	1,8318	0	0,09	0,023	1	False	0,7444	1	4	5	12
dyrks [ d ˈ ʏ rː k s ]	dyrks	0,9687	0,8433	1	1	0,8156	0	0	0	d ˈ ʏ rː k s	CVCCC	0,848	0,651	0,1842	0,0106	1,1643	1,9659	0	0,264	0,03		False	0,2672	1	5	1	6
dyrs [ d ˈ yː ʂ ]	dyrs	0,9245	0,8059	1	1	0,876	0	5	4	d ˈ yː ʂ	CVC	0,8549	0,573	0,0536	0,0007	0,0512	-0,2526	0	0,032	0,036	2	False	1,0454	1	3	13	15
dyrt [ d ˈ yː ʈ ]	dyrt	0,9227	0,8006	1	1	0,876	0	16236	4831	d ˈ yː ʈ	CVC	0,8881	0,6985	0,0496	0,0007	-0,0412	-0,2749	0	0,135	0,127	2	False	4,4777	1	3	10	12
dyrts [ d ˈ yː ʈ ʂ ]	dyrts	0,8737	0,7267	0,9706	0,8824	0,6617	0	0	0	d ˈ yː ʈ ʂ	CVCC	0,8512	0,6985	0,0591	0,001	-0,0822	-0,2404	0	0,028	0,027		False	0,2672	1	4	4	5
dys [ d ˈ yː s ]	dys	0,9892	0,9676	1	1	0,876	0	2	2	d ˈ yː s	CVC	0,9154	0,8077	0,0974	0,0015	1,0657	0,0839	0	0,012	0,012	3	False	0,7444	1	3	24	26
dys- [ d ˈ ʏ sː ]	dys-	0,9586	0,8758	1	1	0,6874	0	0	0	d ˈ ʏ sː	CVC	0,8756	0,651	0,0747	0,0024	0,498	0,4604	0	0,009	0,069		False	0,2672	1	3	8	4
då [ d ˈ oː ]	då	1	1	1	1	1	0	1327401	10203	d ˈ oː	CV	0,961	0,9017	0,0538	0,0006	0,4429	-0,1801	0	0,049	0,047	3	False	6,3902	1	2	26	30
dåd [ d ˈ oː d ]	dåd	1	1	1	1	1	0	613	312	d ˈ oː d	CVC	0,8905	0,6789	0,0956	0,0017	0,962	0,1815	0	0,061	0,088	1	False	3,0554	1	3	14	10
dåds [ d ˈ oː d s ]	dåds	1	1	1	1	1	0	0	0	d ˈ oː d s	CVCC	0,8605	0,6789	0,1676	0,0051	1,5044	1,0934	0	0,014	0,021		False	0,2672	1	4	11	7
dån [ d ˈ oː n ]	dån	1	1	1	1	1	0	129	105	d ˈ oː n	CVC	0,9358	0,8601	0,0893	0,0022	0,8164	0,3701	0	0,028	0,027	2	False	2,3812	1	3	26	25
dåns [ d ˈ oː n s ]	dåns	1	1	1	1	1	0	1	1	d ˈ oː n s	CVCC	0,9072	0,7928	0,1613	0,0082	1,3952	2,1009	0	0,015	0,016	2	False	0,5683	1	4	16	16
dås [ d ˈ oː s ]	dås	1	1	1	1	1	0	6	5	d ˈ oː s	CVC	0,9087	0,7517	0,1074	0,0017	1,2349	0,1834	0	0,015	0,018	1	False	1,1123	1	3	25	21
däck [ d ˈ ɛ̝ kː ]	däck	0,9885	0,9692	0,979	0,9677	1	0	4046	1585	d ˈ ɛ̝ kː	CVC	0,9657	0,9183	0,1124	0,0061	1,1334	1,9474	0	0,046	0,083	2	False	3,8744	1	3	25	14
däcks [ d ˈ ɛ̝ kː s ]	däcks	0,9914	0,9692	0,9842	0,9677	1	0	5	5	d ˈ ɛ̝ kː s	CVCC	0,9557	0,9158	0,1845	0,0137	1,6329	3,6734	0	0,023	0,042	2	False	1,0454	1	4	17	12
däld [ d ˈ ɛ̝ lː d ]	däld	0,9751	0,9041	0,9795	0,9502	0,7881	0	0	0	d ˈ ɛ̝ lː d	CVCC	0,9394	0,8161	0,1706	0,0137	1,5177	3,505	0	0,014	0,034		False	0,2672	1	4	10	5
dälds [ d ˈ ɛ̝ lː d s ]	dälds	0,9801	0,9041	0,9836	0,9502	0,8305	0	0	0	d ˈ ɛ̝ lː d s	CVCCC	0,9063	0,7407	0,2361	0,0184	1,7642	3,5174	0	0,142	0,32		False	0,2672	1	5	2	1
däm [ d ˈ ɛ̝ mː ]	däm	0,9824	0,9509	0,9892	0,9677	0,7523	0	2	2	d ˈ ɛ̝ mː	CVC	0,9572	0,8843	0,1132	0,0066	1,1522	2,1568	0	0,007	0,018	1	False	0,7444	1	3	25	12
dämd [ d ˈ ɛ̝ mː d ]	dämd	0,9868	0,9509	0,9919	0,9677	0,8142	0	1	1	d ˈ ɛ̝ mː d	CVCC	0,8887	0,6148	0,1539	0,0072	1,2279	1,4777	0	0,074	0,095	1	False	0,5683	1	4	4	3
dämds [ d ˈ ɛ̝ mː d s ]	dämds	0,9894	0,9509	0,9935	0,9677	0,8514	0	0	0	d ˈ ɛ̝ mː d s	CVCCC	0,864	0,6148	0,2194	0,0118	1,5323	1,9969	0	0,142	0,097		False	0,2672	1	5	2	3
däms [ d ˈ ɛ̝ mː s ]	däms	0,9868	0,9509	0,9919	0,9677	0,8142	0	0	0	d ˈ ɛ̝ mː s	CVCC	0,9105	0,7238	0,1853	0,0087	1,647	1,994	0	0,007	0,018		False	0,2672	1	4	20	9
dän [ d ˈ ɛː n ]	dän	1	1	1	1	0,8697	0	59	44	d ˈ ɛː n	CVC	0,9263	0,724	0,0923	0,0009	0,8677	-0,0981	0	0,032	0,028	1	False	2,0454	1	3	18	20
däng [ d ˈ ɛ̝ ŋː ]	däng	0,9507	0,856	0,9892	0,9677	0,7582	0	228	141	d ˈ ɛ̝ ŋː	CVC	0,941	0,8783	0,1048	0,004	0,9562	1,0555	1	0,038	0,065	2	False	2,6271	1	3	22	15
dängd [ d ˈ ɛ̝ ŋː d ]	dängd	0,9631	0,856	0,9919	0,9677	0,8187	0	2	2	d ˈ ɛ̝ ŋː d	CVCC	0,9056	0,7054	0,1454	0,0044	1,0809	0,7039	0	0,044	0,036	1	False	0,7444	1	4	7	8
dängds [ d ˈ ɛ̝ ŋː d s ]	dängds	0,9704	0,856	0,9935	0,9677	0,8549	0	0	0	d ˈ ɛ̝ ŋː d s	CVCCC	0,8781	0,7054	0,211	0,0091	1,4147	1,4165	0	0,124	0,066		False	0,2672	1	5	3	4
dängs [ d ˈ ɛ̝ ŋː s ]	dängs	0,9631	0,856	0,9919	0,9677	0,8187	0	1	1	d ˈ ɛ̝ ŋː s	CVCC	0,9201	0,7775	0,1768	0,0058	1,5	1,1491	0	0,022	0,026	1	False	0,5683	1	4	13	10
där [ d ˈ ɛː r ]	där	1	1	1	1	0,8697	0	1154731	10207	d ˈ ɛː r	CVC	0,9953	0,9814	0,1206	0,0032	1,523	0,8571	0	0,07	0,074	1	False	6,3297	1	3	19	22
däst [ d ˈ ɛː s t ]	däst	1	1	1	1	0,9022	0	54	47	d ˈ ɛː s t	CVCC	0,9202	0,7809	0,1788	0,0129	1,6988	3,7476	0	0,09	0,047	1	False	2,0076	1	4	4	11
dästs [ d ˈ ɛː s t s ]	dästs	1	1	1	1	0,9218	0	0	0	d ˈ ɛː s t s	CVCCC	0,8841	0,7041	0,2444	0,0169	1,909	3,5609	0	0,033	0,014		False	0,2672	1	5	4	10
dö [ d ˈ øː ]	dö	1	1	1	1	1	0	24202	4875	d ˈ øː	CV	0,8328	0,7383	0,0558	0,0006	0,4954	-0,1566	0	0,045	0,034	2	False	4,6511	1	2	25	38
död [ d ˈ øː d ]	död	1	1	1	1	1	0	31759	5402	d ˈ øː d	CVC	0,8807	0,7383	0,0976	0,0033	0,997	0,8315	0	0,085	0,064	3	False	4,7691	1	3	17	22
döds [ d ˈ ø̞ tː s ]	döds	0,8894	0,5911	0,9082	0,6329	0,7189	1	2302	1039	d ˈ ø̞ tː s	CVCC	0,8868	0,731	0,151	0,0065	1,1792	1,4351	0	0,129	0,089	3	False	3,6295	1	4	10	15
döds [ d ˈ øː d s ]	döds	1	1	1	1	1	1	2302	1039	d ˈ øː d s	CVCC	0,8527	0,7383	0,1697	0,0067	1,5306	1,5266	0	0,158	0,089	3	False	3,6295	1	4	9	15
dög [ d ˈ øː ɡ ]	dög	1	1	1	1	1	0	1282	865	d ˈ øː ɡ	CVC	0,8714	0,7383	0,0784	0,0031	0,5522	0,765	0	0,053	0,049	2	False	3,3755	1	3	17	18
dögs [ d ˈ øː ɡ s ]	dögs	1	1	1	1	1	0	0	0	d ˈ øː ɡ s	CVCC	0,8472	0,7383	0,1505	0,0046	1,197	0,8567	0	0,011	0,01		False	0,2672	1	4	10	10
dök [ d ˈ øː k ]	dök	1	1	1	1	1	0	12445	4047	d ˈ øː k	CVC	0,884	0,7383	0,0884	0,0018	0,7832	0,1889	0	0,067	0,064	1	False	4,3623	1	3	19	20
dölj [ d ˈ ø̞ lː ʝ ]	dölj	0,9676	0,9041	0,9875	0,9502	0,7548	0	129	97	d ˈ ø̞ lː ʝ	CVCC	0,8851	0,731	0,1174	0,0044	0,8257	0,7657	0	0,158	0,156	2	False	2,3812	1	4	4	4
döljs [ d ˈ ø̞ lː ʝ s ]	döljs	0,9741	0,9041	0,99	0,9502	0,8039	0	354	277	d ˈ ø̞ lː ʝ s	CVCCC	0,8719	0,731	0,183	0,0054	1,2106	0,6779	0	0,234	0,169	2	False	2,8175	1	5	4	6
döm [ d ˈ ø̞ mː ]	döm	0,9724	0,9509	1	1	0,708	0	1992	1155	d ˈ ø̞ mː	CVC	0,9106	0,731	0,0856	0,0019	0,6823	0,1386	0	0,058	0,039	2	False	3,5667	1	3	15	25
dömd [ d ˈ ø̞ mː d ]	dömd	0,9793	0,9509	1	1	0,781	0	3430	1140	d ˈ ø̞ mː d	CVCC	0,8515	0,6148	0,1262	0,0025	0,8754	0,1322	0	0,171	0,111	2	False	3,8027	1	4	7	10
dömds [ d ˈ ø̞ mː d s ]	dömds	0,9835	0,9509	1	1	0,8248	0	5	4	d ˈ ø̞ mː d s	CVCCC	0,833	0,6148	0,1918	0,0071	1,2504	0,9878	0	0,088	0,036	2	False	1,0454	1	5	3	9
döms [ d ˈ ø̞ mː s ]	döms	0,9793	0,9509	1	1	0,781	0	1916	576	d ˈ ø̞ mː s	CVCC	0,8733	0,7238	0,1577	0,004	1,2946	0,6485	0	0,098	0,068		False	3,5499	1	4	13	19
dömt [ d ˈ ø̞ mː t ]	dömt	0,9793	0,9509	1	1	0,781	0	993	658	d ˈ ø̞ mː t	CVCC	0,8864	0,731	0,154	0,0034	1,2458	0,4291	0	0,089	0,064	4	False	3,2646	1	4	9	14
dömts [ d ˈ ø̞ mː t s ]	dömts	0,9835	0,9509	1	1	0,8248	0	1657	460	d ˈ ø̞ mː t s	CVCCC	0,856	0,7041	0,2196	0,0074	1,5467	1,0721	0	0,196	0,135	2	False	3,4868	1	5	7	10
dön [ d ˈ øː n ]	dön	1	1	1	1	1	0	1	1	d ˈ øː n	CVC	0,8874	0,7383	0,0913	0,0027	0,8515	0,5757	0	0,006	0,006	1	False	0,5683	1	3	27	29
döns [ d ˈ øː n s ]	döns	1	1	1	1	1	0	0	0	d ˈ øː n s	CVCC	0,8685	0,7383	0,1634	0,0087	1,4215	2,238	0	0,007	0,006		False	0,2672	1	4	19	23
döp [ d ˈ øː p ]	döp	1	1	1	1	1	0	234	147	d ˈ øː p	CVC	0,8807	0,7383	0,0707	0,0015	0,373	0,0852	0	0,047	0,039	1	False	2,6383	1	3	16	20
döps [ d ˈ øː p s ]	döps	1	1	1	1	1	0	275	209	d ˈ øː p s	CVCC	0,8532	0,7383	0,1427	0,0023	1,0626	0,1776	0	0,116	0,079	1	False	2,7081	1	4	9	13
döpt [ d ˈ øː p t ]	döpt	1	1	1	1	1	0	2473	1531	d ˈ øː p t	CVCC	0,8736	0,7383	0,1391	0,0021	1,0139	0,0865	0	0,18	0,102	1	False	3,6606	1	4	6	11
döpts [ d ˈ øː p t s ]	döpts	1	1	1	1	1	0	197	158	d ˈ øː p t s	CVCCC	0,8453	0,7041	0,2047	0,0061	1,3611	0,8151	0	0,218	0,1	1	False	2,5639	1	5	3	8
dör [ d ˈ øː r ]	dör	1	1	1	1	1	0	22767	4933	d ˈ øː r	CVC	0,9299	0,7383	0,1196	0,0058	1,5068	1,8851	0	0,044	0,041	2	False	4,6246	1	3	27	30
dörj [ d ˈ ø̞ rː ʝ ]	dörj	0,9524	0,8433	1	1	0,7362	0	21	3	d ˈ ø̞ rː ʝ	CVCC	0,9236	0,731	0,0975	0,0068	0,479	1,5272	0	0,154	0,099	1	False	1,6097	1	4	3	5
dörjs [ d ˈ ø̞ rː ʝ s ]	dörjs	0,962	0,8433	1	1	0,789	0	0	0	d ˈ ø̞ rː ʝ s	CVCCC	0,904	0,731	0,163	0,0077	0,9332	1,2491	0	0,043	0,036		False	0,2672	1	5	3	4
dörr [ d ˈ ø̞ rː ]	dörr	0,9015	0,7379	0,9583	0,875	0,9428	0	7446	3187	d ˈ ø̞ rː	CVC	0,8995	0,731	0,0823	0,0027	0,6065	0,4652	0	0,198	0,234	2	False	4,1392	1	3	5	4
dörrs [ d ˈ ø̞ rː s ]	dörrs	0,9261	0,7379	0,9688	0,875	0,9571	0	0	0	d ˈ ø̞ rː s	CVCC	0,806	0,3176	0,1544	0,0029	1,2377	0,2397	0	0,02	0,061		False	0,2672	1	4	4	1
dös [ d ˈ øː s ]	dös	1	1	1	1	1	0	9	8	d ˈ øː s	CVC	0,8792	0,7383	0,1094	0,0016	1,2699	0,0994	0	0,015	0,013	1	False	1,2672	1	3	30	32
dött [ d ˈ ø̞ tː ]	dött	0,9614	0,9177	1	1	0,9556	0	10455	3709	d ˈ ø̞ tː	CVC	0,9133	0,731	0,0789	0,0027	0,5284	0,4681	0	0,069	0,078	5	False	4,2866	1	3	16	15
döv [ d ˈ øː v ]	döv	1	1	1	1	1	0	967	605	d ˈ øː v	CVC	0,8789	0,7383	0,0797	0,0014	0,5815	0,045	0	0,072	0,058	1	False	3,2531	1	3	14	18
dövs [ d ˈ øː v s ]	dövs	1	1	1	1	1	0	0	0	d ˈ øː v s	CVCC	0,8549	0,7383	0,1518	0,0024	1,219	0,1948	0	0,017	0,01		False	0,2672	1	4	8	13
dövt [ d ˈ øː v t ]	dövt	1	1	1	1	1	0	4	4	d ˈ øː v t	CVCC	0,8538	0,7383	0,1481	0,0017	1,1703	-0,0485	0	0,075	0,038	1	False	0,9662	1	4	4	8
dövts [ d ˈ øː v t s ]	dövts	1	1	1	1	1	0	0	0	d ˈ øː v t s	CVCCC	0,8289	0,7041	0,2137	0,0057	1,4863	0,7139	0	0,07	0,027		False	0,2672	1	5	2	5
e:n [ ˈ eː n ]	e:n	0,9791	0,9582	1	1	0,603	0	15	14	ˈ eː n	VC	0,9685	0,9056	0,0283	0,0012	-0,0348	0,1015	2	0,065	0,056	3	False	1,4714	1	2	28	11
e:t [ ˈ eː t ]	e:t	0,9791	0,9582	1	1	0,603	0	7	5	ˈ eː t	VC	0,9229	0,8631	0,0498	0,0001	0,5125	-0,388	0	0,013	0,042	3	False	1,1703	1	2	22	11
e [ ˈ eː ]	e	0,9582	0,9582	1	1	0,206	0	66015	3845	ˈ eː	V	0,9174	0,9056	0,0063	0	-0,512	0	0	0,034	0,02	3	False	5,0869	1	1	33	56
earl [ ˈ øː ɭ ]	earl	0,595	0,438	0,7425	0,485	0,5202	0	576	317	ˈ øː ɭ	VC	0,7622	0,6828	0,0089	0,0001	-0,5431	-0,4028	0	0,079	0,152		False	3,0284	1	2	12	5
earls [ ˈ øː ɭ s ]	earls	0,73	0,438	0,8283	0,485	0,6802	0	13	9	ˈ øː ɭ s	VCC	0,7927	0,6828	0,0625	0,0001	0,5775	-0,2014	0	0,09	0,115		False	1,4134	1	3	6	4
eau [ ˈ oː ]	eau	0,3979	0,3979	0,4203	0,4203	1	0	615	221	ˈ oː	V	0,9146	0,8292	0,0062	0	-0,5175	0	2	0,036	0,302		False	3,0568	1	1	30	4
ebb [ ˈ ɛ̝ bː ]	ebb	0,8876	0,8228	1	1	0,5548	0	119	79	ˈ ɛ̝ bː	VC	0,8188	0,6183	0,0101	0,0001	-0,5217	-0,4174	0	0,031	0,116	1	False	2,3464	1	2	19	7
ebbs [ ˈ ɛ̝ bː s ]	ebbs	0,9251	0,8228	1	1	0,7032	0	7	6	ˈ ɛ̝ bː s	VCC	0,8064	0,6183	0,0637	0,0001	0,5918	-0,4266	0	0,048	0,068	1	False	1,1703	1	3	7	6
eck [ ˈ ɛ̝ kː ]	eck	0,9608	0,9525	0,9846	0,9692	0,5548	0	10	7	ˈ ɛ̝ kː	VC	0,9512	0,9183	0,0126	0,0009	-0,4593	-0,0105	0	0,011	0,042		False	1,3086	1	2	31	12
ed [ ˈ eː d ]	ed	0,9791	0,9582	1	1	0,603	0	2013	950	ˈ eː d	VC	0,9534	0,9056	0,0118	0,0004	-0,4575	-0,2553	1	0,041	0,023	2	False	3,5713	1	2	22	42
edh [ ˈ eː d ]	edh	0,9233	0,8117	0,6667	0	0,4128	0	29	11	ˈ eː d	VC	0,9534	0,9056	0,0118	0,0004	-0,4575	-0,2553	1	0,041	0,09		False	1,7444	1	2	22	9
eds [ ˈ eː d s ]	eds	0,9861	0,9582	1	1	0,7353	0	113	36	ˈ eː d s	VCC	0,9002	0,7407	0,0653	0,0006	0,6346	-0,2863	0	0,072	0,033	2	False	2,3241	1	3	11	29
eek [ ˈ eː k ]	eek	0,9045	0,7554	0,6667	0	0,4038	0	137	53	ˈ eː k	VC	0,8931	0,7738	0,0295	0,0007	-0,0046	-0,1354	2	0,059	0,071		False	2,4071	1	2	17	14
egg [ ˈ ɛ̝ ɡː ]	egg	0,8968	0,8412	1	1	0,5548	0	1143	378	ˈ ɛ̝ ɡː	VC	0,8964	0,8066	0,0105	0,0004	-0,5131	-0,2325	1	0,053	0,101	1	False	3,3257	1	2	21	11
eggs [ ˈ ɛ̝ ɡː s ]	eggs	0,9312	0,8412	1	1	0,7032	0	789	291	ˈ ɛ̝ ɡː s	VCC	0,8521	0,6666	0,064	0,0005	0,5976	-0,3069	1	0,097	0,222	1	False	3,1649	1	3	11	7
ehn [ ˈ eː n ]	ehn	0,9233	0,8117	0,6667	0	0,4128	0	142	58	ˈ eː n	VC	0,9685	0,9056	0,0283	0,0012	-0,0348	0,1015	2	0,065	0,116		False	2,4226	1	2	28	7
ehrnst [ ˈ ɛː ɳ ʂ ʈ ]	ehrnst	0,8015	0,7267	0,7579	0	0,214	0	0	0	ˈ ɛː ɳ ʂ ʈ	VCCC	0,868	0,7809	0,0168	0,0014	-0,5044	0,0192	2	0,614	0,067		False	0,2672	1	4	1	1
ehrs [ ˈ eː ʂ ]	ehrs	0,8586	0,8059	0,6667	0	0,4128	0	4	4	ˈ eː ʂ	VC	0,8218	0,5669	0,0079	0,0003	-0,5569	-0,3244	1	0,041	0,241		False	0,9662	1	2	18	2
eid [ ˈ ɛ̝ ʝː d ]	eid	0,7985	0,5971	0,8134	0,6269	1	0	278	98	ˈ ɛ̝ ʝː d	VCC	0,9058	0,7684	0,0522	0,0003	0,3233	-0,3551	0	0,091	0,05		False	2,7128	1	3	10	17
eiss [ ˈ ɛ̝ ʝː s ]	eiss	0,6739	0,5971	0,6888	0,6269	0,9914	0	0	0	ˈ ɛ̝ ʝː s	VCC	0,8956	0,7276	0,0639	0,0002	0,5962	-0,3847	0	0,005	0,007		False	0,2672	1	3	19	13
ej [ ˈ ɛ̝ ʝː ]	ej	0,9049	0,8573	1	1	0,1594	0	42995	5933	ˈ ɛ̝ ʝː	VC	0,9516	0,9194	0,0104	0,0002	-0,5151	-0,3442	0	0,038	0,041	1	False	4,9007	1	2	30	30
ek [ ˈ eː k ]	ek	0,9791	0,9582	1	1	0,603	0	3383	926	ˈ eː k	VC	0,8931	0,7738	0,0295	0,0007	-0,0046	-0,1354	2	0,059	0,027	1	False	3,7967	1	2	17	47
ekh [ ˈ eː k ]	ekh	0,9233	0,8117	0,6667	0	0,4128	0	11	8	ˈ eː k	VC	0,8931	0,7738	0,0295	0,0007	-0,0046	-0,1354	2	0,059	0,067		False	1,3464	1	2	17	9
eks [ ˈ eː k s ]	eks	0,9861	0,9582	1	1	0,7353	0	86	53	ˈ eː k s	VCC	0,8605	0,7626	0,0831	0,0043	0,9366	1,2422	0	0,091	0,037	1	False	2,2068	1	3	9	27
el [ ˈ ɛ̝ lː ]	el	0,9283	0,9041	0,9751	0,9502	0,131	1	14694	2981	ˈ ɛ̝ lː	VC	0,9529	0,9352	0,0168	0,0021	-0,3515	0,5285	2	0,036	0,026	1	False	4,4344	1	2	34	46
el [ ˈ eː l ]	el	0,9791	0,9582	1	1	0,603	1	14694	2981	ˈ eː l	VC	0,9277	0,8774	0,052	0,001	0,5684	0,0328	0	0,051	0,026	1	False	4,4344	1	2	22	46
elb [ ˈ ɛ̝ lː b ]	elb	0,9522	0,9041	0,9834	0,9502	0,4207	0	0	0	ˈ ɛ̝ lː b	VCC	0,7993	0,3255	0,0348	0,0022	-0,1183	0,11	0	0,014	0,008		False	0,2672	1	3	5	14
eld [ ˈ ɛ̝ lː d ]	eld	0,9522	0,9041	0,9834	0,9502	0,4207	0	6652	2575	ˈ ɛ̝ lː d	VCC	0,9219	0,8161	0,0586	0,0032	0,4324	0,5362	1	0,109	0,081	3	False	4,0903	1	3	14	17
eldh [ ˈ ɛ̝ lː d ]	eldh	0,9171	0,8117	0,7375	0	0,3236	0	72	42	ˈ ɛ̝ lː d	VCC	0,9219	0,8161	0,0586	0,0032	0,4324	0,5362	1	0,109	0,154		False	2,1306	1	3	14	5
elds [ ˈ ɛ̝ lː d s ]	elds	0,9641	0,9041	0,9875	0,9502	0,5655	0	5	5	ˈ ɛ̝ lː d s	VCCC	0,8857	0,7407	0,1306	0,0066	1,1072	1,3298	0	0,09	0,047	3	False	1,0454	1	4	5	8
elf [ ˈ ɛ̝ lː v ]	elf	0,81	0,5733	0,8368	0,5601	0,0877	0	571	237	ˈ ɛ̝ lː v	VCC	0,9309	0,8521	0,0406	0,0028	0,0169	0,3715	2	0,097	0,07		False	3,0246	1	3	10	16
elg [ ˈ ɛ̝ lː ʝ ]	elg	0,9171	0,8947	0,9584	0,925	0,1446	0	88	25	ˈ ɛ̝ lː ʝ	VCC	0,9156	0,7906	0,0234	0,0032	-0,3815	0,5176	2	0,089	0,04		False	2,2166	1	3	13	20
elgh [ ˈ ɛ̝ lː ʝ ]	elgh	0,8908	0,8117	0,7188	0	0,1165	0	10	9	ˈ ɛ̝ lː ʝ	VCC	0,9156	0,7906	0,0234	0,0032	-0,3815	0,5176	2	0,089	0,193		False	1,3086	1	3	13	3
ell [ ˈ ɛ̝ lː ]	ell	0,952	0,9515	1	1	0,5548	0	140	66	ˈ ɛ̝ lː	VC	0,9529	0,9352	0,0168	0,0021	-0,3515	0,5285	2	0,036	0,032		False	2,4165	1	2	34	24
elm [ ˈ ɛ̝ lː m ]	elm	0,9522	0,9041	0,9834	0,9502	0,4207	0	1546	222	ˈ ɛ̝ lː m	VCC	0,9165	0,7941	0,0373	0,0028	-0,0591	0,3342	0	0,099	0,075		False	3,4567	1	3	12	18
els [ ˈ eː l s ]	els	0,9861	0,9582	1	1	0,7353	0	53	32	ˈ eː l s	VCC	0,8886	0,7715	0,1056	0,0013	1,3186	-0,0987	0	0,062	0,024	1	False	1,9996	1	3	12	33
elv [ ˈ ɛ̝ lː v ]	elv	0,9522	0,9041	0,9834	0,9502	0,4207	0	14	10	ˈ ɛ̝ lː v	VCC	0,9309	0,8521	0,0406	0,0028	0,0169	0,3715	2	0,097	0,026		False	1,4433	1	3	10	20
emt [ ˈ ɛ̝ mː t ]	emt	0,9678	0,9509	1	1	0,4555	0	5	5	ˈ ɛ̝ mː t	VCC	0,9022	0,7893	0,0618	0,0007	0,5103	-0,2278	0	0,044	0,02		False	1,0454	1	3	7	16
en [ ˈ ɛ̝ nː ]	en	0,9608	0,9525	1	1	0,1474	1	7308591	10814	ˈ ɛ̝ nː	VC	0,9784	0,9352	0,0278	0,0007	-0,0711	-0,1265	3	0,049	0,035	9	False	7,1311	1	2	33	51
en [ ˈ eː n ]	en	0,9791	0,9582	1	1	0,603	1	7308591	10814	ˈ eː n	VC	0,9685	0,9056	0,0283	0,0012	-0,0348	0,1015	2	0,065	0,035	9	False	7,1311	1	2	28	51
end [ ˈ ɛ̝ nː d ]	end	0,9738	0,9525	1	1	0,4316	0	7016	1953	ˈ ɛ̝ nː d	VCC	0,9559	0,8882	0,0696	0,0066	0,6193	2,2083	0	0,077	0,063		True	4,1134	1	3	14	15
eng [ ˈ ɛ̝ ŋː ]	eng	0,9042	0,856	1	1	0,1922	0	718	260	ˈ ɛ̝ ŋː	VC	0,9182	0,8783	0,0154	0,001	-0,3872	0,0436	2	0,033	0,041		False	3,124	1	2	28	24
engh [ ˈ ɛ̝ ŋː ]	engh	0,8734	0,8117	0,6667	0	0,1389	0	6	5	ˈ ɛ̝ ŋː	VC	0,9182	0,8783	0,0154	0,001	-0,3872	0,0436	2	0,033	0,138		False	1,1123	1	2	28	4
engs [ ˈ ɛ̝ ŋː s ]	engs	0,9362	0,856	1	1	0,4614	0	3	3	ˈ ɛ̝ ŋː s	VCC	0,8978	0,7775	0,069	0,0013	0,6815	-0,1039	1	0,034	0,03		False	0,8693	1	3	15	13
enn [ ˈ ɛ̝ nː ]	enn	0,9085	0,8646	0,9461	0,8922	0,5548	0	1768	199	ˈ ɛ̝ nː	VC	0,9784	0,9352	0,0278	0,0007	-0,0711	-0,1265	3	0,049	0,053		False	3,515	1	2	33	23
ens [ ˈ ɛ̝ nː s ]	ens	0,9738	0,9525	1	1	0,4316	1	179140	8441	ˈ ɛ̝ nː s	VCC	0,9486	0,8593	0,0814	0,0051	0,8922	1,5846	1	0,078	0,043	7	False	5,5204	1	3	20	45
