// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Matrix Test (Hagerman)		Swedish Matrix Test (Hagerman)	False
Word	L01S07W02	L01S07	tre	False
Phoneme	L01S07W02P00	L01S07W02	tre	False
Word	L01S07W03	L01S07	lätta	False
Phoneme	L01S07W03P00	L01S07W03	lätta	False
Word	L01S07W04	L01S07	pennor	False
Phoneme	L01S07W04P00	L01S07W04	pennor	False
Sentence	L01S08	L01	Sentence08	False
Word	L01S08W00	L01S08	Svante	False
Phoneme	L01S08W00P00	L01S08W00	s	False
Phoneme	L01S08W00P01	L01S08W00	v	False
Phoneme	L01S08W00P02	L01S08W00	a	False
Phoneme	L01S08W00P03	L01S08W00	nː	False
Phoneme	L01S08W00P04	L01S08W00	t	False
Phoneme	L01S08W00P05	L01S08W00	e̞	False
Word	L01S08W01	L01S08	gav	False
Phoneme	L01S08W01P00	L01S08W01	gav	False
Word	L01S08W02	L01S08	två	False
Phoneme	L01S08W02P00	L01S08W02	två	False
Word	L01S08W03	L01S08	fina	False
Phoneme	L01S08W03P00	L01S08W03	fina	False
Word	L01S08W04	L01S08	skålar	False
Phoneme	L01S08W04P00	L01S08W04	skålar	False
Sentence	L01S09	L01	Sentence09	False
Word	L01S09W00	L01S09	Gustav	False
Phoneme	L01S09W00P00	L01S09W00	ɡ	False
Phoneme	L01S09W00P01	L01S09W00	ɵ	False
Phoneme	L01S09W00P02	L01S09W00	sː	False
Phoneme	L01S09W00P03	L01S09W00	t	False
Phoneme	L01S09W00P04	L01S09W00	ɑ	False
Phoneme	L01S09W00P05	L01S09W00	v	False
Word	L01S09W01	L01S09	lånar	False
Phoneme	L01S09W01P00	L01S09W01	lånar	False
Word	L01S09W02	L01S09	tolv	False
Phoneme	L01S09W02P00	L01S09W02	tolv	False
Word	L01S09W03	L01S09	ljusa	False
Phoneme	L01S09W03P00	L01S09W03	ljusa	False
Word	L01S09W04	L01S09	mössor	False
Phoneme	L01S09W04P00	L01S09W04	mössor	False

List	L02	Swedish Matrix Test (Hagerman)	Lista 2	False
Sentence	L02S00	L02	Sentence00	False
Word	L02S00W00	L02S00	Elsa	False
Phoneme	L02S00W00P00	L02S00W00	ɛ̝	False
Phoneme	L02S00W00P01	L02S00W00	lː	False
Phoneme	L02S00W00P02	L02S00W00	s	False
Phoneme	L02S00W00P03	L02S00W00	a	False
Word	L02S00W01	L02S00	ägde	False
Phoneme	L02S00W01P00	L02S00W01	ägde	False
Word	L02S00W02	L02S00	nio	False
Phoneme	L02S00W02P00	L02S00W02	nio	False
Word	L02S00W03	L02S00	fina	False
Phoneme	L02S00W03P00	L02S00W03	fina	False
Word	L02S00W04	L02S00	pennor	False
Phoneme	L02S00W04P00	L02S00W04	pennor	False
Sentence	L02S01	L02	Sentence01	False
Word	L02S01W00	L02S01	Gustav	False
Phoneme	L02S01W00P00	L02S01W00	ɡ	False
Phoneme	L02S01W00P01	L02S01W00	ɵ	False
Phoneme	L02S01W00P02	L02S01W00	sː	False
Phoneme	L02S01W00P03	L02S01W00	t	False
Phoneme	L02S01W00P04	L02S01W00	ɑ	False
Phoneme	L02S01W00P05	L02S01W00	v	False
Word	L02S01W01	L02S01	lånar	False
Phoneme	L02S01W01P00	L02S01W01	lånar	False
Word	L02S01W02	L02S01	två	False
Phoneme	L02S01W02P00	L02S01W02	två	False
Word	L02S01W03	L02S01	gamla	False
Phoneme	L02S01W03P00	L02S01W03	gamla	False
Word	L02S01W04	L02S01	lådor	False
Phoneme	L02S01W04P00	L02S01W04	lådor	False
Sentence	L02S02	L02	Sentence02	False
Word	L02S02W00	L02S02	Bosse	False
Phoneme	L02S02W00P00	L02S02W00	b	False
Phoneme	L02S02W00P01	L02S02W00	ʊ	False
Phoneme	L02S02W00P02	L02S02W00	sː	False
Phoneme	L02S02W00P03	L02S02W00	e̞	False
Word	L02S02W01	L02S02	gav	False
Phoneme	L02S02W01P00	L02S02W01	gav	False
Word	L02S02W02	L02S02	sju	False
Phoneme	L02S02W02P00	L02S02W02	sju	False
Word	L02S02W03	L02S02	mörka	False
Phoneme	L02S02W03P00	L02S02W03	mörka	False
Word	L02S02W04	L02S02	bollar	False
Phoneme	L02S02W04P00	L02S02W04	bollar	False
Sentence	L02S03	L02	Sentence03	False
Word	L02S03W00	L02S03	Britta	False
Phoneme	L02S03W00P00	L02S03W00	b	False
Phoneme	L02S03W00P01	L02S03W00	r	False
Phoneme	L02S03W00P02	L02S03W00	ɪ	False
Phoneme	L02S03W00P03	L02S03W00	tː	False
Phoneme	L02S03W00P04	L02S03W00	a	False
Word	L02S03W01	L02S03	visar	False
Phoneme	L02S03W01P00	L02S03W01	visar	False
Word	L02S03W02	L02S03	arton	False
Phoneme	L02S03W02P00	L02S03W02	arton	False
Word	L02S03W03	L02S03	stora	False
Phoneme	L02S03W03P00	L02S03W03	stora	False
Word	L02S03W04	L02S03	knappar	False
Phoneme	L02S03W04P00	L02S03W04	knappar	False
Sentence	L02S04	L02	Sentence04	False
Word	L02S04W00	L02S04	Peter	False
Phoneme	L02S04W00P00	L02S04W00	p	False
Phoneme	L02S04W00P01	L02S04W00	eː	False
Phoneme	L02S04W00P02	L02S04W00	t	False
Phoneme	L02S04W00P03	L02S04W00	e̞	False
