Id	Spelling	Transcription	IsKeyComponent
L06S01W02	nio	 nio 	0
L06S01W03	vackra	 vackra 	0
L06S01W04	skålar	 skålar 	0
L06S02W00	Britta	 b r ² ɪ tː . a 	0
L06S02W01	lånar	 lånar 	0
L06S02W02	tolv	 tolv 	0
L06S02W03	lätta	 lätta 	0
L06S02W04	ringar	 ringar 	0
L06S03W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L06S03W01	har	 har 	0
L06S03W02	sju	 sju 	0
L06S03W03	hela	 hela 	0
L06S03W04	vantar	 vantar 	0
L06S04W00	Svante	 s v ² a nː . t e̞ 	0
L06S04W01	höll	 höll 	0
L06S04W02	arton	 arton 	0
L06S04W03	nya	 nya 	0
L06S04W04	bollar	 bollar 	0
L06S05W00	Jonas	 ʝ ² uː . n a s 	0
L06S05W01	köpte	 köpte 	0
L06S05W02	två	 två 	0
L06S05W03	gamla	 gamla 	0
L06S05W04	lådor	 lådor 	0
L06S06W00	Bosse	 b ² ʊ sː . e̞ 	0
L06S06W01	visar	 visar 	0
L06S06W02	åtta	 åtta 	0
L06S06W03	fina	 fina 	0
L06S06W04	dukar	 dukar 	0
L06S07W00	Karin	 k ² ɑː . r ɪ n 	0
L06S07W01	ägde	 ägde 	0
L06S07W02	fyra	 fyra 	0
L06S07W03	mörka	 mörka 	0
L06S07W04	korgar	 korgar 	0
L06S08W00	Anna	 ² a nː . a 	0
L06S08W01	gav	 gav 	0
L06S08W02	sex	 sex 	0
L06S08W03	svarta	 svarta 	0
L06S08W04	pennor	 pennor 	0
L06S09W00	Peter	 p ˈ eː . t e̞ r 	0
L06S09W01	ser	 ser 	0
L06S09W02	elva	 elva 	0
L06S09W03	ljusa	 ljusa 	0
L06S09W04	knappar	 knappar 	0
L07S00W00	Karin	 k ² ɑː . r ɪ n 	0
L07S00W01	flyttar	 flyttar 	0
L07S00W02	åtta	 åtta 	0
L07S00W03	fina	 fina 	0
L07S00W04	korgar	 korgar 	0
L07S01W00	Britta	 b r ² ɪ tː . a 	0
L07S01W01	ser	 ser 	0
L07S01W02	fyra	 fyra 	0
L07S01W03	lätta	 lätta 	0
L07S01W04	pennor	 pennor 	0
L07S02W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L07S02W01	höll	 höll 	0
L07S02W02	tre	 tre 	0
L07S02W03	svarta	 svarta 	0
L07S02W04	mössor	 mössor 	0
L07S03W00	Peter	 p ˈ eː . t e̞ r 	0
L07S03W01	ägde	 ägde 	0
L07S03W02	elva	 elva 	0
L07S03W03	stora	 stora 	0
L07S03W04	vantar	 vantar 	0
L07S04W00	Märta	 m ² ɛ̝ ʈː . a 	0
L07S04W01	tog	 tog 	0
L07S04W02	sex	 sex 	0
L07S04W03	mörka	 mörka 	0
L07S04W04	dukar	 dukar 	0
L07S05W00	Svante	 s v ² a nː . t e̞ 	0
L07S05W01	lånar	 lånar 	0
L07S05W02	sju	 sju 	0
L07S05W03	hela	 hela 	0
L07S05W04	ringar	 ringar 	0
L07S06W00	Jonas	 ʝ ² uː . n a s 	0
L07S06W01	visar	 visar 	0
L07S06W02	två	 två 	0
L07S06W03	ljusa	 ljusa 	0
L07S06W04	lådor	 lådor 	0
L07S07W00	Bosse	 b ² ʊ sː . e̞ 	0
L07S07W01	har	 har 	0
L07S07W02	arton	 arton 	0
L07S07W03	nya	 nya 	0
L07S07W04	bollar	 bollar 	0
L07S08W00	Anna	 ² a nː . a 	0
L07S08W01	gav	 gav 	0
L07S08W02	nio	 nio 	0
L07S08W03	vackra	 vackra 	0
L07S08W04	knappar	 knappar 	0
L07S09W00	Elsa	 ² ɛ̝ lː . s a 	0
L07S09W01	köpte	 köpte 	0
L07S09W02	tolv	 tolv 	0
L07S09W03	gamla	 gamla 	0
L07S09W04	skålar	 skålar 	0
L08S00W00	Svante	 s v ² a nː . t e̞ 	0
L08S00W01	tog	 tog 	0
L08S00W02	åtta	 åtta 	0
L08S00W03	fina	 fina 	0
L08S00W04	bollar	 bollar 	0
L08S01W00	Anna	 ² a nː . a 	0
L08S01W01	lånar	 lånar 	0
L08S01W02	nio	 nio 	0
L08S01W03	lätta	 lätta 	0
L08S01W04	korgar	 korgar 	0
L08S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L08S02W01	har	 har 	0
L08S02W02	elva	 elva 	0
L08S02W03	stora	 stora 	0
L08S02W04	vantar	 vantar 	0
L08S03W00	Peter	 p ˈ eː . t e̞ r 	0
L08S03W01	ägde	 ägde 	0
L08S03W02	tre	 tre 	0
L08S03W03	hela	 hela 	0
L08S03W04	mössor	 mössor 	0
L08S04W00	Jonas	 ʝ ² uː . n a s 	0
L08S04W01	gav	 gav 	0
L08S04W02	tolv	 tolv 	0
L08S04W03	gamla	 gamla 	0
L08S04W04	skålar	 skålar 	0
L08S05W00	Karin	 k ² ɑː . r ɪ n 	0
L08S05W01	visar	 visar 	0
L08S05W02	sex	 sex 	0
L08S05W03	nya	 nya 	0
L08S05W04	dukar	 dukar 	0
L08S06W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L08S06W01	flyttar	 flyttar 	0
L08S06W02	arton	 arton 	0
L08S06W03	vackra	 vackra 	0
L08S06W04	pennor	 pennor 	0
L08S07W00	Bosse	 b ² ʊ sː . e̞ 	0
L08S07W01	köpte	 köpte 	0
L08S07W02	sju	 sju 	0
L08S07W03	ljusa	 ljusa 	0
L08S07W04	knappar	 knappar 	0
L08S08W00	Elsa	 ² ɛ̝ lː . s a 	0
L08S08W01	höll	 höll 	0
L08S08W02	två	 två 	0
L08S08W03	svarta	 svarta 	0
L08S08W04	lådor	 lådor 	0
L08S09W00	Britta	 b r ² ɪ tː . a 	0
L08S09W01	ser	 ser 	0
L08S09W02	fyra	 fyra 	0
L08S09W03	mörka	 mörka 	0
L08S09W04	ringar	 ringar 	0
L09S00W00	Bosse	 b ² ʊ sː . e̞ 	0
L09S00W01	köpte	 köpte 	0
L09S00W02	sju	 sju 	0
L09S00W03	mörka	 mörka 	0
L09S00W04	bollar	 bollar 	0
L09S01W00	Jonas	 ʝ ² uː . n a s 	0
L09S01W01	flyttar	 flyttar 	0
L09S01W02	tre	 tre 	0
L09S01W03	stora	 stora 	0
L09S01W04	korgar	 korgar 	0
L09S02W00	Svante	 s v ² a nː . t e̞ 	0
L09S02W01	har	 har 	0
L09S02W02	tolv	 tolv 	0
L09S02W03	hela	 hela 	0
L09S02W04	pennor	 pennor 	0
L09S03W00	Anna	 ² a nː . a 	0
L09S03W01	tog	 tog 	0
L09S03W02	åtta	 åtta 	0
L09S03W03	ljusa	 ljusa 	0
L09S03W04	knappar	 knappar 	0
