// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Word	L03S00W04	L03S00	skålar	False
Phoneme	L03S00W04P00	L03S00W04	skålar	False
Sentence	L03S01	L03	Sentence01	False
Word	L03S01W00	L03S01	Jonas	False
Phoneme	L03S01W00P00	L03S01W00	ʝ	False
Phoneme	L03S01W00P01	L03S01W00	uː	False
Phoneme	L03S01W00P02	L03S01W00	n	False
Phoneme	L03S01W00P03	L03S01W00	a	False
Phoneme	L03S01W00P04	L03S01W00	s	False
Word	L03S01W01	L03S01	flyttar	False
Phoneme	L03S01W01P00	L03S01W01	flyttar	False
Word	L03S01W02	L03S01	sju	False
Phoneme	L03S01W02P00	L03S01W02	sju	False
Word	L03S01W03	L03S01	ljusa	False
Phoneme	L03S01W03P00	L03S01W03	ljusa	False
Word	L03S01W04	L03S01	lådor	False
Phoneme	L03S01W04P00	L03S01W04	lådor	False
Sentence	L03S02	L03	Sentence02	False
Word	L03S02W00	L03S02	Märta	False
Phoneme	L03S02W00P00	L03S02W00	m	False
Phoneme	L03S02W00P01	L03S02W00	ɛ̝	False
Phoneme	L03S02W00P02	L03S02W00	ʈː	False
Phoneme	L03S02W00P03	L03S02W00	a	False
Word	L03S02W01	L03S02	köpte	False
Phoneme	L03S02W01P00	L03S02W01	köpte	False
Word	L03S02W02	L03S02	fyra	False
Phoneme	L03S02W02P00	L03S02W02	fyra	False
Word	L03S02W03	L03S02	hela	False
Phoneme	L03S02W03P00	L03S02W03	hela	False
Word	L03S02W04	L03S02	mössor	False
Phoneme	L03S02W04P00	L03S02W04	mössor	False
Sentence	L03S03	L03	Sentence03	False
Word	L03S03W00	L03S03	Elsa	False
Phoneme	L03S03W00P00	L03S03W00	ɛ̝	False
Phoneme	L03S03W00P01	L03S03W00	lː	False
Phoneme	L03S03W00P02	L03S03W00	s	False
Phoneme	L03S03W00P03	L03S03W00	a	False
Word	L03S03W01	L03S03	lånar	False
Phoneme	L03S03W01P00	L03S03W01	lånar	False
Word	L03S03W02	L03S03	tre	False
Phoneme	L03S03W02P00	L03S03W02	tre	False
Word	L03S03W03	L03S03	mörka	False
Phoneme	L03S03W03P00	L03S03W03	mörka	False
Word	L03S03W04	L03S03	vantar	False
Phoneme	L03S03W04P00	L03S03W04	vantar	False
Sentence	L03S04	L03	Sentence04	False
Word	L03S04W00	L03S04	Karin	False
Phoneme	L03S04W00P00	L03S04W00	k	False
Phoneme	L03S04W00P01	L03S04W00	ɑː	False
Phoneme	L03S04W00P02	L03S04W00	r	False
Phoneme	L03S04W00P03	L03S04W00	ɪ	False
Phoneme	L03S04W00P04	L03S04W00	n	False
Word	L03S04W01	L03S04	visar	False
Phoneme	L03S04W01P00	L03S04W01	visar	False
Word	L03S04W02	L03S04	åtta	False
Phoneme	L03S04W02P00	L03S04W02	åtta	False
Word	L03S04W03	L03S04	gamla	False
Phoneme	L03S04W03P00	L03S04W03	gamla	False
Word	L03S04W04	L03S04	dukar	False
Phoneme	L03S04W04P00	L03S04W04	dukar	False
Sentence	L03S05	L03	Sentence05	False
Word	L03S05W00	L03S05	Bosse	False
Phoneme	L03S05W00P00	L03S05W00	b	False
Phoneme	L03S05W00P01	L03S05W00	ʊ	False
Phoneme	L03S05W00P02	L03S05W00	sː	False
Phoneme	L03S05W00P03	L03S05W00	e̞	False
Word	L03S05W01	L03S05	ägde	False
Phoneme	L03S05W01P00	L03S05W01	ägde	False
Word	L03S05W02	L03S05	sex	False
Phoneme	L03S05W02P00	L03S05W02	sex	False
Word	L03S05W03	L03S05	vackra	False
Phoneme	L03S05W03P00	L03S05W03	vackra	False
Word	L03S05W04	L03S05	ringar	False
Phoneme	L03S05W04P00	L03S05W04	ringar	False
Sentence	L03S06	L03	Sentence06	False
Word	L03S06W00	L03S06	Peter	False
Phoneme	L03S06W00P00	L03S06W00	p	False
Phoneme	L03S06W00P01	L03S06W00	eː	False
Phoneme	L03S06W00P02	L03S06W00	t	False
Phoneme	L03S06W00P03	L03S06W00	e̞	False
Phoneme	L03S06W00P04	L03S06W00	r	False
Word	L03S06W01	L03S06	gav	False
Phoneme	L03S06W01P00	L03S06W01	gav	False
Word	L03S06W02	L03S06	två	False
Phoneme	L03S06W02P00	L03S06W02	två	False
Word	L03S06W03	L03S06	stora	False
Phoneme	L03S06W03P00	L03S06W03	stora	False
Word	L03S06W04	L03S06	bollar	False
Phoneme	L03S06W04P00	L03S06W04	bollar	False
Sentence	L03S07	L03	Sentence07	False
Word	L03S07W00	L03S07	Britta	False
Phoneme	L03S07W00P00	L03S07W00	b	False
Phoneme	L03S07W00P01	L03S07W00	r	False
Phoneme	L03S07W00P02	L03S07W00	ɪ	False
Phoneme	L03S07W00P03	L03S07W00	tː	False
Phoneme	L03S07W00P04	L03S07W00	a	False
Word	L03S07W01	L03S07	tog	False
Phoneme	L03S07W01P00	L03S07W01	tog	False
Word	L03S07W02	L03S07	arton	False
Phoneme	L03S07W02P00	L03S07W02	arton	False
Word	L03S07W03	L03S07	nya	False
Phoneme	L03S07W03P00	L03S07W03	nya	False
Word	L03S07W04	L03S07	pennor	False
Phoneme	L03S07W04P00	L03S07W04	pennor	False
Sentence	L03S08	L03	Sentence08	False
Word	L03S08W00	L03S08	Svante	False
Phoneme	L03S08W00P00	L03S08W00	s	False
Phoneme	L03S08W00P01	L03S08W00	v	False
Phoneme	L03S08W00P02	L03S08W00	a	False
Phoneme	L03S08W00P03	L03S08W00	nː	False
Phoneme	L03S08W00P04	L03S08W00	t	False
Phoneme	L03S08W00P05	L03S08W00	e̞	False
Word	L03S08W01	L03S08	har	False
Phoneme	L03S08W01P00	L03S08W01	har	False
Word	L03S08W02	L03S08	nio	False
Phoneme	L03S08W02P00	L03S08W02	nio	False
Word	L03S08W03	L03S08	fina	False
Phoneme	L03S08W03P00	L03S08W03	fina	False
Word	L03S08W04	L03S08	knappar	False
Phoneme	L03S08W04P00	L03S08W04	knappar	False
Sentence	L03S09	L03	Sentence09	False
Word	L03S09W00	L03S09	Anna	False
Phoneme	L03S09W00P00	L03S09W00	a	False
Phoneme	L03S09W00P01	L03S09W00	nː	False
Phoneme	L03S09W00P02	L03S09W00	a	False
Word	L03S09W01	L03S09	höll	False
Phoneme	L03S09W01P00	L03S09W01	höll	False
Word	L03S09W02	L03S09	elva	False
Phoneme	L03S09W02P00	L03S09W02	elva	False
Word	L03S09W03	L03S09	lätta	False
Phoneme	L03S09W03P00	L03S09W03	lätta	False
Word	L03S09W04	L03S09	korgar	False
Phoneme	L03S09W04P00	L03S09W04	korgar	False
				
List	L04	Swedish Matrix Test (Hagerman)	Lista 4	False
Sentence	L04S00	L04	Sentence00	False
Word	L04S00W00	L04S00	Peter	False
Phoneme	L04S00W00P00	L04S00W00	p	False
Phoneme	L04S00W00P01	L04S00W00	eː	False
Phoneme	L04S00W00P02	L04S00W00	t	False
Phoneme	L04S00W00P03	L04S00W00	e̞	False
Phoneme	L04S00W00P04	L04S00W00	r	False
Word	L04S00W01	L04S00	köpte	False
Phoneme	L04S00W01P00	L04S00W01	köpte	False
Word	L04S00W02	L04S00	två	False
Phoneme	L04S00W02P00	L04S00W02	två	False
Word	L04S00W03	L04S00	fina	False
Phoneme	L04S00W03P00	L04S00W03	fina	False
Word	L04S00W04	L04S00	knappar	False
Phoneme	L04S00W04P00	L04S00W04	knappar	False
Sentence	L04S01	L04	Sentence01	False
Word	L04S01W00	L04S01	Bosse	False
Phoneme	L04S01W00P00	L04S01W00	b	False
Phoneme	L04S01W00P01	L04S01W00	ʊ	False
Phoneme	L04S01W00P02	L04S01W00	sː	False
Phoneme	L04S01W00P03	L04S01W00	e̞	False
Word	L04S01W01	L04S01	gav	False
Phoneme	L04S01W01P00	L04S01W01	gav	False
Word	L04S01W02	L04S01	sex	False
Phoneme	L04S01W02P00	L04S01W02	sex	False
Word	L04S01W03	L04S01	nya	False
Phoneme	L04S01W03P00	L04S01W03	nya	False
Word	L04S01W04	L04S01	dukar	False
Phoneme	L04S01W04P00	L04S01W04	dukar	False
Sentence	L04S02	L04	Sentence02	False
Word	L04S02W00	L04S02	Britta	False
Phoneme	L04S02W00P00	L04S02W00	b	False
Phoneme	L04S02W00P01	L04S02W00	r	False
Phoneme	L04S02W00P02	L04S02W00	ɪ	False
Phoneme	L04S02W00P03	L04S02W00	tː	False
Phoneme	L04S02W00P04	L04S02W00	a	False
Word	L04S02W01	L04S02	flyttar	False
Phoneme	L04S02W01P00	L04S02W01	flyttar	False
Word	L04S02W02	L04S02	fyra	False
Phoneme	L04S02W02P00	L04S02W02	fyra	False
Word	L04S02W03	L04S02	lätta	False
Phoneme	L04S02W03P00	L04S02W03	lätta	False
Word	L04S02W04	L04S02	vantar	False
Phoneme	L04S02W04P00	L04S02W04	vantar	False
Sentence	L04S03	L04	Sentence03	False
Word	L04S03W00	L04S03	Anna	False
Phoneme	L04S03W00P00	L04S03W00	a	False
Phoneme	L04S03W00P01	L04S03W00	nː	False
Phoneme	L04S03W00P02	L04S03W00	a	False
Word	L04S03W01	L04S03	höll	False
Phoneme	L04S03W01P00	L04S03W01	höll	False
Word	L04S03W02	L04S03	tre	False
Phoneme	L04S03W02P00	L04S03W02	tre	False
Word	L04S03W03	L04S03	vackra	False
Phoneme	L04S03W03P00	L04S03W03	vackra	False
Word	L04S03W04	L04S03	ringar	False
Phoneme	L04S03W04P00	L04S03W04	ringar	False
Sentence	L04S04	L04	Sentence04	False
Word	L04S04W00	L04S04	Svante	False
Phoneme	L04S04W00P00	L04S04W00	s	False
Phoneme	L04S04W00P01	L04S04W00	v	False
Phoneme	L04S04W00P02	L04S04W00	a	False
Phoneme	L04S04W00P03	L04S04W00	nː	False
Phoneme	L04S04W00P04	L04S04W00	t	False
Phoneme	L04S04W00P05	L04S04W00	e̞	False
Word	L04S04W01	L04S04	visar	False
Phoneme	L04S04W01P00	L04S04W01	visar	False
Word	L04S04W02	L04S04	åtta	False
Phoneme	L04S04W02P00	L04S04W02	åtta	False
Word	L04S04W03	L04S04	stora	False
Phoneme	L04S04W03P00	L04S04W03	stora	False
Word	L04S04W04	L04S04	pennor	False
Phoneme	L04S04W04P00	L04S04W04	pennor	False
Sentence	L04S05	L04	Sentence05	False
Word	L04S05W00	L04S05	Karin	False
Phoneme	L04S05W00P00	L04S05W00	k	False
Phoneme	L04S05W00P01	L04S05W00	ɑː	False
Phoneme	L04S05W00P02	L04S05W00	r	False
Phoneme	L04S05W00P03	L04S05W00	ɪ	False
Phoneme	L04S05W00P04	L04S05W00	n	False
Word	L04S05W01	L04S05	tog	False
Phoneme	L04S05W01P00	L04S05W01	tog	False
Word	L04S05W02	L04S05	tolv	False
Phoneme	L04S05W02P00	L04S05W02	tolv	False
Word	L04S05W03	L04S05	mörka	False
Phoneme	L04S05W03P00	L04S05W03	mörka	False
Word	L04S05W04	L04S05	lådor	False
Phoneme	L04S05W04P00	L04S05W04	lådor	False
Sentence	L04S06	L04	Sentence06	False
Word	L04S06W00	L04S06	Elsa	False
Phoneme	L04S06W00P00	L04S06W00	ɛ̝	False
Phoneme	L04S06W00P01	L04S06W00	lː	False
Phoneme	L04S06W00P02	L04S06W00	s	False
Phoneme	L04S06W00P03	L04S06W00	a	False
Word	L04S06W01	L04S06	lånar	False
Phoneme	L04S06W01P00	L04S06W01	lånar	False
Word	L04S06W02	L04S06	arton	False
Phoneme	L04S06W02P00	L04S06W02	arton	False
Word	L04S06W03	L04S06	hela	False
Phoneme	L04S06W03P00	L04S06W03	hela	False
Word	L04S06W04	L04S06	bollar	False
Phoneme	L04S06W04P00	L04S06W04	bollar	False
Sentence	L04S07	L04	Sentence07	False
Word	L04S07W00	L04S07	Jonas	False
Phoneme	L04S07W00P00	L04S07W00	ʝ	False
Phoneme	L04S07W00P01	L04S07W00	uː	False
Phoneme	L04S07W00P02	L04S07W00	n	False
