Id	Transcription
L02S04W01P04	r
L02S04W02P00	p
L02S04W02P01	oː
L02S04W03P00	ɧ
L02S04W03P01	ɛː
L02S04W03P02	ɳ
L02S04W03P03	ʊ
L02S04W03P04	ɳ
L02S04W03P05	a
L02S05W00P00	s
L02S05W00P01	oː
L02S05W00P02	v
L02S05W00P03	r
L02S05W00P04	ɵ
L02S05W00P05	m
L02S05W00P06	s
L02S05W00P07	m
L02S05W00P08	a
L02S05W00P09	tː
L02S05W00P10	a
L02S05W00P11	n
L02S05W01P00	ɛː
L02S05W01P01	r
L02S05W02P00	b
L02S05W02P01	l
L02S05W02P02	oː
L02S06W00P00	k
L02S06W00P01	ɪ
L02S06W00P02	lː
L02S06W00P03	e̞
L02S06W00P04	n
L02S06W01P00	h
L02S06W01P01	a
L02S06W01P02	lː
L02S06W01P03	k
L02S06W01P04	a
L02S06W01P05	d
L02S06W01P06	e̞
L02S06W02P00	iː
L02S06W03P00	b
L02S06W03P01	ɑː
L02S06W03P02	d
L02S06W03P03	r
L02S06W03P04	ɵ
L02S06W03P05	mː
L02S06W03P06	e̞
L02S06W03P07	t
L02S07W00P00	m
L02S07W00P01	a
L02S07W00P02	nː
L02S07W00P03	e̞
L02S07W00P04	n
L02S07W01P00	f
L02S07W01P01	ʊ
L02S07W01P02	t
L02S07W01P03	ʊ
L02S07W01P04	ɡ
L02S07W01P05	r
L02S07W01P06	a
L02S07W01P07	f
L02S07W01P08	eː
L02S07W01P09	r
L02S07W01P10	a
L02S07W01P11	r
L02S07W02P00	s
L02S07W02P01	l
L02S07W02P02	ɔ
L02S07W02P03	tː
L02S07W02P04	e̞
L02S07W02P05	t
L02S08W00P00	f
L02S08W00P01	ø̞
L02S08W00P02	r
L02S08W00P03	ɛ̝
L02S08W00P04	lː
L02S08W00P05	d
L02S08W00P06	r
L02S08W00P07	a
L02S08W00P08	ɳ
L02S08W00P09	a
L02S08W01P00	s
L02S08W01P01	a
L02S08W01P02	tː
L02S08W02P00	p
L02S08W02P01	oː
L02S08W03P00	b
L02S08W03P01	a
L02S08W03P02	l
L02S08W03P03	k
L02S08W03P04	ɔ
L02S08W03P05	ŋː
L02S08W03P06	e̞
L02S08W03P07	n
L02S09W00P00	ɕ
L02S09W00P01	ɛ̝
L02S09W00P02	ʝː
L02S09W00P03	e̞
L02S09W00P04	n
L02S09W01P00	t
L02S09W01P01	a
L02S09W01P02	pː
L02S09W01P03	a
L02S09W01P04	d
L02S09W01P05	e̞
L02S09W02P00	b
L02S09W02P01	uː
L02S09W02P02	k
L02S09W02P03	e̞
L02S09W02P04	n
L03S00W00P00	iː
L03S00W01P00	t
L03S00W01P01	a
L03S00W01P02	lː
L03S00W01P03	e̞
L03S00W01P04	n
L03S00W02P00	s
L03S00W02P01	a
L03S00W02P02	tː
L03S00W03P00	ɛ̝
L03S00W03P01	nː
L03S00W04P00	h
L03S00W04P01	a
L03S00W04P02	kː
L03S00W04P03	s
L03S00W04P04	p
L03S00W04P05	ɛ̝
L03S00W04P06	tː
L03S01W00P00	k
L03S01W00P01	v
L03S01W00P02	ɪ
L03S01W00P03	nː
L03S01W00P04	a
L03S01W00P05	n
L03S01W01P00	m
L03S01W01P01	ɪ
L03S01W01P02	sː
L03S01W01P03	a
L03S01W01P04	d
L03S01W01P05	e̞
L03S01W02P00	b
L03S01W02P01	ɑː
L03S01W02P02	ɳ
L03S01W02P03	e̞
L03S01W02P04	n
L03S01W02P05	s
L03S01W03P00	p
L03S01W03P01	ʝ
L03S01W03P02	ɛː
L03S01W03P03	s
L03S02W00P00	h
L03S02W00P01	a
L03S02W00P02	nː
L03S02W01P00	f
L03S02W01P01	ø̞
L03S02W01P02	ʂ
L03S02W01P03	øː
L03S02W01P04	k
L03S02W01P05	t
L03S02W01P06	e̞
L03S02W02P00	l
L03S02W02P01	ʏ
L03S02W02P02	fː
L03S02W02P03	t
L03S02W02P04	a
L03S02W03P00	ɧ
L03S02W03P01	ʉː
L03S02W04P00	ɕ
L03S02W04P01	iː
L03S02W04P02	l
