// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Word	L04S00W04	L04S00	idag	False
Sentence	L04S01	L04	Sentence01	False
Word	L04S01W00	L04S01	Mamma	False
Word	L04S01W01	L04S01	slog	False
Word	L04S01W02	L04S01	upp	False
Word	L04S01W03	L04S01	tältet	False
Word	L04S01W04	L04S01	på	False
Word	L04S01W05	L04S01	ängen	False
Sentence	L04S02	L04	Sentence02	False
Word	L04S02W00	L04S02	Eleven	False
Word	L04S02W01	L04S02	glömde	False
Word	L04S02W02	L04S02	sin	False
Word	L04S02W03	L04S02	väska	False
Sentence	L04S03	L04	Sentence03	False
Word	L04S03W00	L04S03	Lillebror	False
Word	L04S03W01	L04S03	förfrös	False
Word	L04S03W02	L04S03	vänstra	False
Word	L04S03W03	L04S03	stortån	False
Sentence	L04S04	L04	Sentence04	False
Word	L04S04W00	L04S04	Tåget	False
Word	L04S04W01	L04S04	stannade	False
Word	L04S04W02	L04S04	vid	False
Word	L04S04W03	L04S04	perrong	False
Word	L04S04W04	L04S04	sju	False
Sentence	L04S05	L04	Sentence05	False
Word	L04S05W00	L04S05	Hon	False
Word	L04S05W01	L04S05	fick	False
Word	L04S05W02	L04S05	schampo	False
Word	L04S05W03	L04S05	i	False
Word	L04S05W04	L04S05	ögonen	False
Sentence	L04S06	L04	Sentence06	False
Word	L04S06W00	L04S06	Pojken	False
Word	L04S06W01	L04S06	föll	False
Word	L04S06W02	L04S06	från	False
Word	L04S06W03	L04S06	trädet	False
Sentence	L04S07	L04	Sentence07	False
Word	L04S07W00	L04S07	Damen	False
Word	L04S07W01	L04S07	handlade	False
Word	L04S07W02	L04S07	på	False
Word	L04S07W03	L04S07	torget	False
Sentence	L04S08	L04	Sentence08	False
Word	L04S08W00	L04S08	Flickorna	False
Word	L04S08W01	L04S08	åkte	False
Word	L04S08W02	L04S08	karusell	False
Sentence	L04S09	L04	Sentence09	False
Word	L04S09W00	L04S09	Pappa	False
Word	L04S09W01	L04S09	bakar	False
Word	L04S09W02	L04S09	torra	False
Word	L04S09W03	L04S09	bullar	False
				
List	L05	HINT	Lista 6	False
Sentence	L05S00	L05	Sentence00	False
Word	L05S00W00	L05S00	De	False
Word	L05S00W01	L05S00	svarta	False
Word	L05S00W02	L05S00	fåren	False
Word	L05S00W03	L05S00	går	False
Word	L05S00W04	L05S00	på	False
Word	L05S00W05	L05S00	ängen	False
Sentence	L05S01	L05	Sentence01	False
Word	L05S01W00	L05S01	Clownen	False
Word	L05S01W01	L05S01	tappar	False
Word	L05S01W02	L05S01	en	False
Word	L05S01W03	L05S01	ballong	False
Sentence	L05S02	L05	Sentence02	False
Word	L05S02W00	L05S02	Pappa	False
Word	L05S02W01	L05S02	byggde	False
Word	L05S02W02	L05S02	kojor	False
Word	L05S02W03	L05S02	med	False
Word	L05S02W04	L05S02	oss	False
Sentence	L05S03	L05	Sentence03	False
Word	L05S03W00	L05S03	Den	False
Word	L05S03W01	L05S03	stora	False
Word	L05S03W02	L05S03	svarta	False
Word	L05S03W03	L05S03	hästen	False
Word	L05S03W04	L05S03	frös	False
Sentence	L05S04	L05	Sentence04	False
Word	L05S04W00	L05S04	Flickan	False
Word	L05S04W01	L05S04	valde	False
Word	L05S04W02	L05S04	mellan	False
Word	L05S04W03	L05S04	tre	False
Word	L05S04W04	L05S04	par	False
Word	L05S04W05	L05S04	jeans	False
Sentence	L05S05	L05	Sentence05	False
Word	L05S05W00	L05S05	Chefen	False
Word	L05S05W01	L05S05	hittade	False
Word	L05S05W02	L05S05	en	False
Word	L05S05W03	L05S05	nyckel	False
Sentence	L05S06	L05	Sentence06	False
Word	L05S06W00	L05S06	Pennan	False
Word	L05S06W01	L05S06	ligger	False
Word	L05S06W02	L05S06	på	False
Word	L05S06W03	L05S06	skrivbordet	False
Sentence	L05S07	L05	Sentence07	False
Word	L05S07W00	L05S07	Sovrumsdörren	False
Word	L05S07W01	L05S07	var	False
Word	L05S07W02	L05S07	målad	False
Word	L05S07W03	L05S07	i	False
Word	L05S07W04	L05S07	rött	False
Sentence	L05S08	L05	Sentence08	False
Word	L05S08W00	L05S08	Hon	False
Word	L05S08W01	L05S08	satte	False
Word	L05S08W02	L05S08	sig	False
Word	L05S08W03	L05S08	vid	False
Word	L05S08W04	L05S08	elden	False
Sentence	L05S09	L05	Sentence09	False
Word	L05S09W00	L05S09	Dagisbarnen	False
Word	L05S09W01	L05S09	gick	False
Word	L05S09W02	L05S09	till	False
Word	L05S09W03	L05S09	lekparken	False
				
List	L06	HINT	Lista 7	False
Sentence	L06S00	L06	Sentence00	False
Word	L06S00W00	L06S00	Den	False
Word	L06S00W01	L06S00	gröna	False
Word	L06S00W02	L06S00	hinken	False
Word	L06S00W03	L06S00	står	False
Word	L06S00W04	L06S00	på	False
Word	L06S00W05	L06S00	marken	False
Sentence	L06S01	L06	Sentence01	False
Word	L06S01W00	L06S01	Golvet	False
Word	L06S01W01	L06S01	täcktes	False
Word	L06S01W02	L06S01	av	False
Word	L06S01W03	L06S01	en	False
Word	L06S01W04	L06S01	vit	False
Word	L06S01W05	L06S01	matta	False
Sentence	L06S02	L06	Sentence02	False
Word	L06S02W00	L06S02	Soppan	False
Word	L06S02W01	L06S02	sjöd	False
Word	L06S02W02	L06S02	i	False
Word	L06S02W03	L06S02	kastrullen	False
Sentence	L06S03	L06	Sentence03	False
Word	L06S03W00	L06S03	Pappa	False
Word	L06S03W01	L06S03	ska	False
Word	L06S03W02	L06S03	laga	False
