// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Phoneme	L00S07W02P00	L00S07W02	ɵ	False
Phoneme	L00S07W02P01	L00S07W02	pː	False
Word	L00S07W03	L00S07	på	False
Phoneme	L00S07W03P00	L00S07W03	p	False
Phoneme	L00S07W03P01	L00S07W03	oː	False
Word	L00S07W04	L00S07	taket	False
Phoneme	L00S07W04P00	L00S07W04	t	False
Phoneme	L00S07W04P01	L00S07W04	ɑː	False
Phoneme	L00S07W04P02	L00S07W04	k	False
Phoneme	L00S07W04P03	L00S07W04	e̞	False
Phoneme	L00S07W04P04	L00S07W04	t	False
Sentence	L00S08	L00	Sentence08	False
Word	L00S08W00	L00S08	Killen	False
Phoneme	L00S08W00P00	L00S08W00	k	False
Phoneme	L00S08W00P01	L00S08W00	ɪ	False
Phoneme	L00S08W00P02	L00S08W00	lː	False
Phoneme	L00S08W00P03	L00S08W00	e̞	False
Phoneme	L00S08W00P04	L00S08W00	n	False
Word	L00S08W01	L00S08	satt	False
Phoneme	L00S08W01P00	L00S08W01	s	False
Phoneme	L00S08W01P01	L00S08W01	a	False
Phoneme	L00S08W01P02	L00S08W01	tː	False
Word	L00S08W02	L00S08	tyst	False
Phoneme	L00S08W02P00	L00S08W02	t	False
Phoneme	L00S08W02P01	L00S08W02	ʏ	False
Phoneme	L00S08W02P02	L00S08W02	sː	False
Phoneme	L00S08W02P03	L00S08W02	t	False
Word	L00S08W03	L00S08	i	False
Phoneme	L00S08W03P00	L00S08W03	iː	False
Word	L00S08W04	L00S08	hörnet	False
Phoneme	L00S08W04P00	L00S08W04	h	False
Phoneme	L00S08W04P01	L00S08W04	øː	False
Phoneme	L00S08W04P02	L00S08W04	ɳ	False
Phoneme	L00S08W04P03	L00S08W04	e̞	False
Phoneme	L00S08W04P04	L00S08W04	t	False
Sentence	L00S09	L00	Sentence09	False
Word	L00S09W00	L00S09	En	False
Phoneme	L00S09W00P00	L00S09W00	ɛ̝	False
Phoneme	L00S09W00P01	L00S09W00	nː	False
Word	L00S09W01	L00S09	lärare	False
Phoneme	L00S09W01P00	L00S09W01	l	False
Phoneme	L00S09W01P01	L00S09W01	ɛː	False
Phoneme	L00S09W01P02	L00S09W01	r	False
Phoneme	L00S09W01P03	L00S09W01	a	False
Phoneme	L00S09W01P04	L00S09W01	r	False
Phoneme	L00S09W01P05	L00S09W01	e̞	False
Word	L00S09W02	L00S09	sjöng	False
Phoneme	L00S09W02P00	L00S09W02	ɧ	False
Phoneme	L00S09W02P01	L00S09W02	ø̞	False
Phoneme	L00S09W02P02	L00S09W02	ŋː	False
Word	L00S09W03	L00S09	i	False
Phoneme	L00S09W03P00	L00S09W03	iː	False
Word	L00S09W04	L00S09	aulan	False
Phoneme	L00S09W04P00	L00S09W04	a͡uː	False
Phoneme	L00S09W04P01	L00S09W04	l	False
Phoneme	L00S09W04P02	L00S09W04	a	False
Phoneme	L00S09W04P03	L00S09W04	n	False
				
List	L01	HINT	Lista 2	False
Sentence	L01S00	L01	Sentence00	False
Word	L01S00W00	L01S00	Cykeln	False
Phoneme	L01S00W00P00	L01S00W00	s	False
Phoneme	L01S00W00P01	L01S00W00	ʏ	False
Phoneme	L01S00W00P02	L01S00W00	kː	False
Phoneme	L01S00W00P03	L01S00W00	e̞	False
Phoneme	L01S00W00P04	L01S00W00	l	False
Phoneme	L01S00W00P05	L01S00W00	n	False
Word	L01S00W01	L01S00	ligger	False
Phoneme	L01S00W01P00	L01S00W01	l	False
Phoneme	L01S00W01P01	L01S00W01	ɪ	False
Phoneme	L01S00W01P02	L01S00W01	ɡː	False
Phoneme	L01S00W01P03	L01S00W01	e̞	False
Phoneme	L01S00W01P04	L01S00W01	r	False
Word	L01S00W02	L01S00	slängd	False
Phoneme	L01S00W02P00	L01S00W02	s	False
Phoneme	L01S00W02P01	L01S00W02	l	False
Phoneme	L01S00W02P02	L01S00W02	ɛ̝	False
Phoneme	L01S00W02P03	L01S00W02	ŋː	False
Phoneme	L01S00W02P04	L01S00W02	d	False
Word	L01S00W03	L01S00	i	False
Phoneme	L01S00W03P00	L01S00W03	iː	False
Word	L01S00W04	L01S00	gräset	False
Phoneme	L01S00W04P00	L01S00W04	ɡ	False
Phoneme	L01S00W04P01	L01S00W04	r	False
Phoneme	L01S00W04P02	L01S00W04	ɛː	False
Phoneme	L01S00W04P03	L01S00W04	s	False
Phoneme	L01S00W04P04	L01S00W04	e̞	False
Phoneme	L01S00W04P05	L01S00W04	t	False
Sentence	L01S01	L01	Sentence01	False
Word	L01S01W00	L01S01	Tanten	False
Phoneme	L01S01W00P00	L01S01W00	t	False
Phoneme	L01S01W00P01	L01S01W00	a	False
Phoneme	L01S01W00P02	L01S01W00	nː	False
Phoneme	L01S01W00P03	L01S01W00	t	False
Phoneme	L01S01W00P04	L01S01W00	e̞	False
Phoneme	L01S01W00P05	L01S01W00	n	False
Word	L01S01W01	L01S01	handlar	False
Phoneme	L01S01W01P00	L01S01W01	h	False
Phoneme	L01S01W01P01	L01S01W01	a	False
Phoneme	L01S01W01P02	L01S01W01	nː	False
Phoneme	L01S01W01P03	L01S01W01	d	False
Phoneme	L01S01W01P04	L01S01W01	l	False
Phoneme	L01S01W01P05	L01S01W01	a	False
Phoneme	L01S01W01P06	L01S01W01	r	False
Word	L01S01W02	L01S01	en	False
Phoneme	L01S01W02P00	L01S01W02	ɛ̝	False
Phoneme	L01S01W02P01	L01S01W02	nː	False
Word	L01S01W03	L01S01	gång	False
Phoneme	L01S01W03P00	L01S01W03	ɡ	False
Phoneme	L01S01W03P01	L01S01W03	ɔ	False
Phoneme	L01S01W03P02	L01S01W03	ŋː	False
Word	L01S01W04	L01S01	i	False
Phoneme	L01S01W04P00	L01S01W04	iː	False
Word	L01S01W05	L01S01	veckan	False
Phoneme	L01S01W05P00	L01S01W05	v	False
Phoneme	L01S01W05P01	L01S01W05	ɛ̝	False
Phoneme	L01S01W05P02	L01S01W05	kː	False
Phoneme	L01S01W05P03	L01S01W05	a	False
Phoneme	L01S01W05P04	L01S01W05	n	False
Sentence	L01S02	L01	Sentence02	False
Word	L01S02W00	L01S02	Frukten	False
Phoneme	L01S02W00P00	L01S02W00	f	False
Phoneme	L01S02W00P01	L01S02W00	r	False
Phoneme	L01S02W00P02	L01S02W00	ɵ	False
Phoneme	L01S02W00P03	L01S02W00	kː	False
Phoneme	L01S02W00P04	L01S02W00	t	False
Phoneme	L01S02W00P05	L01S02W00	e̞	False
Phoneme	L01S02W00P06	L01S02W00	n	False
Word	L01S02W01	L01S02	packades	False
Phoneme	L01S02W01P00	L01S02W01	p	False
Phoneme	L01S02W01P01	L01S02W01	a	False
Phoneme	L01S02W01P02	L01S02W01	kː	False
Phoneme	L01S02W01P03	L01S02W01	a	False
Phoneme	L01S02W01P04	L01S02W01	d	False
Phoneme	L01S02W01P05	L01S02W01	e̞	False
Phoneme	L01S02W01P06	L01S02W01	s	False
Word	L01S02W02	L01S02	i	False
Phoneme	L01S02W02P00	L01S02W02	iː	False
Word	L01S02W03	L01S02	sex	False
Phoneme	L01S02W03P00	L01S02W03	s	False
Phoneme	L01S02W03P01	L01S02W03	ɛ̝	False
Phoneme	L01S02W03P02	L01S02W03	kː	False
Phoneme	L01S02W03P03	L01S02W03	s	False
Word	L01S02W04	L01S02	lådor	False
Phoneme	L01S02W04P00	L01S02W04	l	False
Phoneme	L01S02W04P01	L01S02W04	oː	False
Phoneme	L01S02W04P02	L01S02W04	d	False
Phoneme	L01S02W04P03	L01S02W04	ʊ	False
Phoneme	L01S02W04P04	L01S02W04	r	False
Sentence	L01S03	L01	Sentence03	False
Word	L01S03W00	L01S03	Plånboken	False
Phoneme	L01S03W00P00	L01S03W00	p	False
Phoneme	L01S03W00P01	L01S03W00	l	False
Phoneme	L01S03W00P02	L01S03W00	oː	False
Phoneme	L01S03W00P03	L01S03W00	m	False
Phoneme	L01S03W00P04	L01S03W00	b	False
Phoneme	L01S03W00P05	L01S03W00	uː	False
Phoneme	L01S03W00P06	L01S03W00	k	False
Phoneme	L01S03W00P07	L01S03W00	e̞	False
Phoneme	L01S03W00P08	L01S03W00	n	False
Word	L01S03W01	L01S03	låg	False
Phoneme	L01S03W01P00	L01S03W01	l	False
Phoneme	L01S03W01P01	L01S03W01	oː	False
Phoneme	L01S03W01P02	L01S03W01	ɡ	False
Word	L01S03W02	L01S03	kvar	False
Phoneme	L01S03W02P00	L01S03W02	k	False
Phoneme	L01S03W02P01	L01S03W02	v	False
Phoneme	L01S03W02P02	L01S03W02	ɑː	False
Phoneme	L01S03W02P03	L01S03W02	r	False
Word	L01S03W03	L01S03	på	False
Phoneme	L01S03W03P00	L01S03W03	p	False
Phoneme	L01S03W03P01	L01S03W03	oː	False
Word	L01S03W04	L01S03	isen	False
Phoneme	L01S03W04P00	L01S03W04	iː	False
Phoneme	L01S03W04P01	L01S03W04	s	False
Phoneme	L01S03W04P02	L01S03W04	e̞	False
Phoneme	L01S03W04P03	L01S03W04	n	False
Sentence	L01S04	L01	Sentence04	False
Word	L01S04W00	L01S04	Mamma	False
Phoneme	L01S04W00P00	L01S04W00	m	False
Phoneme	L01S04W00P01	L01S04W00	a	False
Phoneme	L01S04W00P02	L01S04W00	mː	False
Phoneme	L01S04W00P03	L01S04W00	a	False
Word	L01S04W01	L01S04	lär	False
Phoneme	L01S04W01P00	L01S04W01	l	False
Phoneme	L01S04W01P01	L01S04W01	ɛː	False
Phoneme	L01S04W01P02	L01S04W01	r	False
Word	L01S04W02	L01S04	sig	False
Phoneme	L01S04W02P00	L01S04W02	s	False
Phoneme	L01S04W02P01	L01S04W02	ɛ̝	False
Phoneme	L01S04W02P02	L01S04W02	ʝː	False
Word	L01S04W03	L01S04	hoppa	False
Phoneme	L01S04W03P00	L01S04W03	h	False
Phoneme	L01S04W03P01	L01S04W03	ɔ	False
Phoneme	L01S04W03P02	L01S04W03	pː	False
Phoneme	L01S04W03P03	L01S04W03	a	False
Word	L01S04W04	L01S04	fallskärm	False
Phoneme	L01S04W04P00	L01S04W04	f	False
Phoneme	L01S04W04P01	L01S04W04	a	False
Phoneme	L01S04W04P02	L01S04W04	lː	False
Phoneme	L01S04W04P03	L01S04W04	ɧ	False
Phoneme	L01S04W04P04	L01S04W04	ɛ̝	False
Phoneme	L01S04W04P05	L01S04W04	rː	False
Phoneme	L01S04W04P06	L01S04W04	m	False
Sentence	L01S05	L01	Sentence05	False
Word	L01S05W00	L01S05	Datorn	False
Phoneme	L01S05W00P00	L01S05W00	d	False
Phoneme	L01S05W00P01	L01S05W00	ɑː	False
Phoneme	L01S05W00P02	L01S05W00	t	False
Phoneme	L01S05W00P03	L01S05W00	ʊ	False
Phoneme	L01S05W00P04	L01S05W00	ɳ	False
Word	L01S05W01	L01S05	blev	False
Phoneme	L01S05W01P00	L01S05W01	b	False
Phoneme	L01S05W01P01	L01S05W01	l	False
Phoneme	L01S05W01P02	L01S05W01	eː	False
Phoneme	L01S05W01P03	L01S05W01	v	False
Word	L01S05W02	L01S05	överhettad	False
Phoneme	L01S05W02P00	L01S05W02	øː	False
Phoneme	L01S05W02P01	L01S05W02	v	False
Phoneme	L01S05W02P02	L01S05W02	e̞	False
Phoneme	L01S05W02P03	L01S05W02	r	False
Phoneme	L01S05W02P04	L01S05W02	h	False
Phoneme	L01S05W02P05	L01S05W02	ɛ̝	False
Phoneme	L01S05W02P06	L01S05W02	tː	False
Phoneme	L01S05W02P07	L01S05W02	a	False
Phoneme	L01S05W02P08	L01S05W02	d	False
Sentence	L01S06	L01	Sentence06	False
Word	L01S06W00	L01S06	Rektorn	False
Phoneme	L01S06W00P00	L01S06W00	r	False
Phoneme	L01S06W00P01	L01S06W00	ɛ̝	False
Phoneme	L01S06W00P02	L01S06W00	kː	False
Phoneme	L01S06W00P03	L01S06W00	t	False
Phoneme	L01S06W00P04	L01S06W00	ʊ	False
Phoneme	L01S06W00P05	L01S06W00	ɳ	False
Word	L01S06W01	L01S06	tog	False
Phoneme	L01S06W01P00	L01S06W01	t	False
Phoneme	L01S06W01P01	L01S06W01	uː	False
Phoneme	L01S06W01P02	L01S06W01	ɡ	False
Word	L01S06W02	L01S06	fram	False
Phoneme	L01S06W02P00	L01S06W02	f	False
Phoneme	L01S06W02P01	L01S06W02	r	False
Phoneme	L01S06W02P02	L01S06W02	a	False
Phoneme	L01S06W02P03	L01S06W02	mː	False
Word	L01S06W03	L01S06	kastrullen	False
Phoneme	L01S06W03P00	L01S06W03	k	False
Phoneme	L01S06W03P01	L01S06W03	a	False
Phoneme	L01S06W03P02	L01S06W03	s	False
Phoneme	L01S06W03P03	L01S06W03	t	False
Phoneme	L01S06W03P04	L01S06W03	r	False
Phoneme	L01S06W03P05	L01S06W03	ɵ	False
Phoneme	L01S06W03P06	L01S06W03	lː	False
Phoneme	L01S06W03P07	L01S06W03	e̞	False
Phoneme	L01S06W03P08	L01S06W03	n	False
Sentence	L01S07	L01	Sentence07	False
Word	L01S07W00	L01S07	Kvinnan	False
Phoneme	L01S07W00P00	L01S07W00	k	False
Phoneme	L01S07W00P01	L01S07W00	v	False
Phoneme	L01S07W00P02	L01S07W00	ɪ	False
Phoneme	L01S07W00P03	L01S07W00	nː	False
Phoneme	L01S07W00P04	L01S07W00	a	False
Phoneme	L01S07W00P05	L01S07W00	n	False
Word	L01S07W01	L01S07	arbetade	False
Phoneme	L01S07W01P00	L01S07W01	a	False
Phoneme	L01S07W01P01	L01S07W01	rː	False
Phoneme	L01S07W01P02	L01S07W01	b	False
Phoneme	L01S07W01P03	L01S07W01	e	False
Phoneme	L01S07W01P04	L01S07W01	t	False
Phoneme	L01S07W01P05	L01S07W01	a	False
Phoneme	L01S07W01P06	L01S07W01	d	False
Phoneme	L01S07W01P07	L01S07W01	e̞	False
Word	L01S07W02	L01S07	på	False
Phoneme	L01S07W02P00	L01S07W02	p	False
Phoneme	L01S07W02P01	L01S07W02	oː	False
Word	L01S07W03	L01S07	posten	False
Phoneme	L01S07W03P00	L01S07W03	p	False
Phoneme	L01S07W03P01	L01S07W03	ɔ	False
Phoneme	L01S07W03P02	L01S07W03	sː	False
Phoneme	L01S07W03P03	L01S07W03	t	False
Phoneme	L01S07W03P04	L01S07W03	e̞	False
Phoneme	L01S07W03P05	L01S07W03	n	False
Sentence	L01S08	L01	Sentence08	False
Word	L01S08W00	L01S08	Nästa	False
Phoneme	L01S08W00P00	L01S08W00	n	False
Phoneme	L01S08W00P01	L01S08W00	ɛ̝	False
Phoneme	L01S08W00P02	L01S08W00	sː	False
Phoneme	L01S08W00P03	L01S08W00	t	False
Phoneme	L01S08W00P04	L01S08W00	a	False
Word	L01S08W01	L01S08	år	False
Phoneme	L01S08W01P00	L01S08W01	oː	False
Phoneme	L01S08W01P01	L01S08W01	r	False
Word	L01S08W02	L01S08	börjar	False
Phoneme	L01S08W02P00	L01S08W02	b	False
Phoneme	L01S08W02P01	L01S08W02	ø̞	False
Phoneme	L01S08W02P02	L01S08W02	rː	False
Phoneme	L01S08W02P03	L01S08W02	ʝ	False
Phoneme	L01S08W02P04	L01S08W02	a	False
Phoneme	L01S08W02P05	L01S08W02	r	False
Word	L01S08W03	L01S08	de	False
Phoneme	L01S08W03P00	L01S08W03	d	False
Phoneme	L01S08W03P01	L01S08W03	ɔ	False
Phoneme	L01S08W03P02	L01S08W03	mː	False
Word	L01S08W04	L01S08	sjuan	False
Phoneme	L01S08W04P00	L01S08W04	ɧ	False
Phoneme	L01S08W04P01	L01S08W04	ʉː	False
Phoneme	L01S08W04P02	L01S08W04	a	False
Phoneme	L01S08W04P03	L01S08W04	n	False
Sentence	L01S09	L01	Sentence09	False
Word	L01S09W00	L01S09	Bonden	False
Phoneme	L01S09W00P00	L01S09W00	b	False
Phoneme	L01S09W00P01	L01S09W00	ʊ	False
Phoneme	L01S09W00P02	L01S09W00	nː	False
Phoneme	L01S09W00P03	L01S09W00	d	False
Phoneme	L01S09W00P04	L01S09W00	e̞	False
Phoneme	L01S09W00P05	L01S09W00	n	False
Word	L01S09W01	L01S09	skjutsade	False
Phoneme	L01S09W01P00	L01S09W01	ɧ	False
Phoneme	L01S09W01P01	L01S09W01	ɵ	False
Phoneme	L01S09W01P02	L01S09W01	sː	False
Phoneme	L01S09W01P03	L01S09W01	a	False
Phoneme	L01S09W01P04	L01S09W01	d	False
Phoneme	L01S09W01P05	L01S09W01	e̞	False
Word	L01S09W02	L01S09	sina	False
Phoneme	L01S09W02P00	L01S09W02	s	False
Phoneme	L01S09W02P01	L01S09W02	iː	False
Phoneme	L01S09W02P02	L01S09W02	n	False
Phoneme	L01S09W02P03	L01S09W02	a	False
Word	L01S09W03	L01S09	barn	False
Phoneme	L01S09W03P00	L01S09W03	b	False
Phoneme	L01S09W03P01	L01S09W03	ɑː	False
Phoneme	L01S09W03P02	L01S09W03	ɳ	False
				
List	L02	HINT	Lista 3	False
Sentence	L02S00	L02	Sentence00	False
Word	L02S00W00	L02S00	Kvinnan	False
