Id	Transcription
L00S168W00P00	ɡ
L00S168W00P01	l
L00S168W00P02	ø̞
L00S168W00P03	mː
L00S168W00P04	s
L00S168W00P05	k
L00S169W00P00	ɡ
L00S169W00P01	n
L00S169W00P02	uː
L00S170W00P00	ɡ
L00S170W00P01	n
L00S170W00P02	yː
L00S171W00P00	ɡ
L00S171W00P01	n
L00S171W00P02	ɛ̝
L00S171W00P03	lː
L00S172W00P00	ɡ
L00S172W00P01	ɔ
L00S172W00P02	lː
L00S172W00P03	v
L00S173W00P00	ɡ
L00S173W00P01	ʊ
L00S173W00P02	mː
L00S174W00P00	ɡ
L00S174W00P01	r
L00S174W00P02	a
L00S174W00P03	bː
L00S175W00P00	ɡ
L00S175W00P01	r
L00S175W00P02	ɑː
L00S175W00P03	d
L00S176W00P00	ɡ
L00S176W00P01	r
L00S176W00P02	a
L00S176W00P03	nː
L00S177W00P00	ɡ
L00S177W00P01	r
L00S177W00P02	ɛ̝
L00S177W00P03	pː
L00S178W00P00	ɡ
L00S178W00P01	r
L00S178W00P02	ɪ
L00S178W00P03	nː
L00S178W00P04	d
L00S179W00P00	ɡ
L00S179W00P01	r
L00S179W00P02	iː
L00S179W00P03	s
L00S180W00P00	ɡ
L00S180W00P01	r
L00S180W00P02	uː
L00S181W00P00	ɡ
L00S181W00P01	r
L00S181W00P02	ɵ
L00S181W00P03	pː
L00S182W00P00	ɡ
L00S182W00P01	r
L00S182W00P02	ʉː
L00S182W00P03	s
L00S183W00P00	ɡ
L00S183W00P01	r
L00S183W00P02	ʏ
L00S183W00P03	mː
L00S184W00P00	ɡ
L00S184W00P01	r
L00S184W00P02	oː
L00S185W00P00	ɡ
L00S185W00P01	r
L00S185W00P02	oː
L00S185W00P03	t
L00S186W00P00	ɡ
L00S186W00P01	r
L00S186W00P02	ɛː
L00S186W00P03	l
L00S187W00P00	ɡ
L00S187W00P01	r
L00S187W00P02	ɛ̝
L00S187W00P03	nː
L00S187W00P04	d
L00S188W00P00	ɡ
L00S188W00P01	r
L00S188W00P02	ɛ̝
L00S188W00P03	nː
L00S188W00P04	s
L00S189W00P00	ɡ
L00S189W00P01	r
L00S189W00P02	øː
L00S189W00P03	t
L00S190W00P00	ɡ
L00S190W00P01	ʉː
L00S190W00P02	l
L00S191W00P00	ɡ
L00S191W00P01	ɵ
L00S191W00P02	lː
L00S191W00P03	d
L00S192W00P00	ɡ
L00S192W00P01	ɵ
L00S192W00P02	ŋː
L00S193W00P00	ɡ
L00S193W00P01	ɵ
L00S193W00P02	nː
L00S193W00P03	s
L00S193W00P04	t
L00S194W00P00	ɡ
L00S194W00P01	ɵ
L00S194W00P02	pː
L00S195W00P00	ʝ
L00S195W00P01	ʏ
L00S195W00P02	mː
L00S196W00P00	ɡ
L00S196W00P01	oː
L00S196W00P02	s
L00S197W00P00	ʝ
