// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SwedishPB23		SwedishPB23	False
Phoneme	L00S73W00P00	L00S73W00	d	False
Phoneme	L00S73W00P01	L00S73W00	r	False
Phoneme	L00S73W00P02	L00S73W00	ɪ	False
Phoneme	L00S73W00P03	L00S73W00	kː	False
Phoneme	L00S73W00P04	L00S73W00	s	False
Sentence	L00S74	L00	Sentence74	False
Word	L00S74W00	L00S74	drift	False
Phoneme	L00S74W00P00	L00S74W00	d	False
Phoneme	L00S74W00P01	L00S74W00	r	False
Phoneme	L00S74W00P02	L00S74W00	ɪ	False
Phoneme	L00S74W00P03	L00S74W00	fː	False
Phoneme	L00S74W00P04	L00S74W00	t	False
Sentence	L00S75	L00	Sentence75	False
Word	L00S75W00	L00S75	drill	False
Phoneme	L00S75W00P00	L00S75W00	d	False
Phoneme	L00S75W00P01	L00S75W00	r	False
Phoneme	L00S75W00P02	L00S75W00	ɪ	False
Phoneme	L00S75W00P03	L00S75W00	lː	False
Sentence	L00S76	L00	Sentence76	False
Word	L00S76W00	L00S76	drink	False
Phoneme	L00S76W00P00	L00S76W00	d	False
Phoneme	L00S76W00P01	L00S76W00	r	False
Phoneme	L00S76W00P02	L00S76W00	ɪ	False
Phoneme	L00S76W00P03	L00S76W00	ŋː	False
Phoneme	L00S76W00P04	L00S76W00	k	False
Sentence	L00S77	L00	Sentence77	False
Word	L00S77W00	L00S77	driv	False
Phoneme	L00S77W00P00	L00S77W00	d	False
Phoneme	L00S77W00P01	L00S77W00	r	False
Phoneme	L00S77W00P02	L00S77W00	iː	False
Phoneme	L00S77W00P03	L00S77W00	v	False
Sentence	L00S78	L00	Sentence78	False
Word	L00S78W00	L00S78	dryck	False
Phoneme	L00S78W00P00	L00S78W00	d	False
Phoneme	L00S78W00P01	L00S78W00	r	False
Phoneme	L00S78W00P02	L00S78W00	ʏ	False
Phoneme	L00S78W00P03	L00S78W00	kː	False
Sentence	L00S79	L00	Sentence79	False
Word	L00S79W00	L00S79	dryg	False
Phoneme	L00S79W00P00	L00S79W00	d	False
Phoneme	L00S79W00P01	L00S79W00	r	False
Phoneme	L00S79W00P02	L00S79W00	yː	False
Phoneme	L00S79W00P03	L00S79W00	ɡ	False
Sentence	L00S80	L00	Sentence80	False
Word	L00S80W00	L00S80	dräkt	False
Phoneme	L00S80W00P00	L00S80W00	d	False
Phoneme	L00S80W00P01	L00S80W00	r	False
Phoneme	L00S80W00P02	L00S80W00	ɛ̝	False
Phoneme	L00S80W00P03	L00S80W00	kː	False
Phoneme	L00S80W00P04	L00S80W00	t	False
Sentence	L00S81	L00	Sentence81	False
Word	L00S81W00	L00S81	dröm	False
Phoneme	L00S81W00P00	L00S81W00	d	False
Phoneme	L00S81W00P01	L00S81W00	r	False
Phoneme	L00S81W00P02	L00S81W00	ø̞	False
Phoneme	L00S81W00P03	L00S81W00	mː	False
Sentence	L00S82	L00	Sentence82	False
Word	L00S82W00	L00S82	drömsk	False
Phoneme	L00S82W00P00	L00S82W00	d	False
Phoneme	L00S82W00P01	L00S82W00	r	False
Phoneme	L00S82W00P02	L00S82W00	ø̞	False
Phoneme	L00S82W00P03	L00S82W00	mː	False
Phoneme	L00S82W00P04	L00S82W00	s	False
Phoneme	L00S82W00P05	L00S82W00	k	False
Sentence	L00S83	L00	Sentence83	False
Word	L00S83W00	L00S83	duk	False
Phoneme	L00S83W00P00	L00S83W00	d	False
Phoneme	L00S83W00P01	L00S83W00	ʉː	False
Phoneme	L00S83W00P02	L00S83W00	k	False
Sentence	L00S84	L00	Sentence84	False
Word	L00S84W00	L00S84	dun	False
Phoneme	L00S84W00P00	L00S84W00	d	False
Phoneme	L00S84W00P01	L00S84W00	ʉː	False
Phoneme	L00S84W00P02	L00S84W00	n	False
Sentence	L00S85	L00	Sentence85	False
Word	L00S85W00	L00S85	dunk	False
Phoneme	L00S85W00P00	L00S85W00	d	False
Phoneme	L00S85W00P01	L00S85W00	ɵ	False
Phoneme	L00S85W00P02	L00S85W00	ŋː	False
Phoneme	L00S85W00P03	L00S85W00	k	False
Sentence	L00S86	L00	Sentence86	False
Word	L00S86W00	L00S86	dur	False
Phoneme	L00S86W00P00	L00S86W00	d	False
Phoneme	L00S86W00P01	L00S86W00	ʉː	False
Phoneme	L00S86W00P02	L00S86W00	r	False
Sentence	L00S87	L00	Sentence87	False
Word	L00S87W00	L00S87	dusch	False
Phoneme	L00S87W00P00	L00S87W00	d	False
Phoneme	L00S87W00P01	L00S87W00	ɵ	False
Phoneme	L00S87W00P02	L00S87W00	ʂː	False
Sentence	L00S88	L00	Sentence88	False
Word	L00S88W00	L00S88	dygd	False
Phoneme	L00S88W00P00	L00S88W00	d	False
Phoneme	L00S88W00P01	L00S88W00	ʏ	False
Phoneme	L00S88W00P02	L00S88W00	ɡː	False
Phoneme	L00S88W00P03	L00S88W00	d	False
Sentence	L00S89	L00	Sentence89	False
Word	L00S89W00	L00S89	dygn	False
Phoneme	L00S89W00P00	L00S89W00	d	False
Phoneme	L00S89W00P01	L00S89W00	ʏ	False
Phoneme	L00S89W00P02	L00S89W00	ŋː	False
Phoneme	L00S89W00P03	L00S89W00	n	False
Sentence	L00S90	L00	Sentence90	False
Word	L00S90W00	L00S90	dåd	False
Phoneme	L00S90W00P00	L00S90W00	d	False
Phoneme	L00S90W00P01	L00S90W00	oː	False
Phoneme	L00S90W00P02	L00S90W00	d	False
Sentence	L00S91	L00	Sentence91	False
Word	L00S91W00	L00S91	dån	False
Phoneme	L00S91W00P00	L00S91W00	d	False
Phoneme	L00S91W00P01	L00S91W00	oː	False
Phoneme	L00S91W00P02	L00S91W00	n	False
Sentence	L00S92	L00	Sentence92	False
Word	L00S92W00	L00S92	däck	False
Phoneme	L00S92W00P00	L00S92W00	d	False
Phoneme	L00S92W00P01	L00S92W00	ɛ̝	False
Phoneme	L00S92W00P02	L00S92W00	kː	False
Sentence	L00S93	L00	Sentence93	False
Word	L00S93W00	L00S93	dömd	False
Phoneme	L00S93W00P00	L00S93W00	d	False
Phoneme	L00S93W00P01	L00S93W00	ø̞	False
Phoneme	L00S93W00P02	L00S93W00	mː	False
Phoneme	L00S93W00P03	L00S93W00	d	False
Sentence	L00S94	L00	Sentence94	False
Word	L00S94W00	L00S94	dörr	False
Phoneme	L00S94W00P00	L00S94W00	d	False
Phoneme	L00S94W00P01	L00S94W00	ø̞	False
Phoneme	L00S94W00P02	L00S94W00	rː	False
Sentence	L00S95	L00	Sentence95	False
